	gene_symbol
AIDA	AIDA
AIF1	AIF1
AIFM1	AIFM1
AIFM2	AIFM2
AIFM3	AIFM3
AIG1	AIG1
AIM2	AIM2
AIMP1	AIMP1
AIMP2	AIMP2
AIP	AIP
AK1	AK1
AK2	AK2
AK3	AK3
AK5	AK5
AK6	AK6
AK8	AK8
AK9	AK9
AKAP1	AKAP1
AKAP10	AKAP10
AKAP11	AKAP11
AKAP13	AKAP13
AKAP17A	AKAP17A
AKAP5	AKAP5
AKAP7	AKAP7
AKAP8	AKAP8
AKAP8L	AKAP8L
AKAP9	AKAP9
AKIP1	AKIP1
AKIRIN1	AKIRIN1
AKIRIN2	AKIRIN2
AKNA	AKNA
AKR1A1	AKR1A1
AKR1B1	AKR1B1
AKR1C1	AKR1C1
AKR1C3	AKR1C3
AKR7A2	AKR7A2
AKR7A3	AKR7A3
AKT1	AKT1
AKT2	AKT2
AKT3	AKT3
AKTIP	AKTIP
ALAD	ALAD
ALAS1	ALAS1
ALCAM	ALCAM
ALDH16A1	ALDH16A1
ALDH18A1	ALDH18A1
ALDH1A1	ALDH1A1
ALDH1B1	ALDH1B1
ALDH2	ALDH2
ALDH3A2	ALDH3A2
ALDH3B1	ALDH3B1
ALDH5A1	ALDH5A1
ALDH6A1	ALDH6A1
ALDH9A1	ALDH9A1
ALG10	ALG10
ALG10B	ALG10B
ALG11	ALG11
ALG12	ALG12
ALG13	ALG13
ALG14	ALG14
ALG2	ALG2
ALG3	ALG3
ALG5	ALG5
ALG6	ALG6
ALG8	ALG8
ALG9	ALG9
ALK	ALK
ALKBH1	ALKBH1
ALKBH2	ALKBH2
ALKBH3	ALKBH3
ALKBH4	ALKBH4
ALKBH5	ALKBH5
ALKBH7	ALKBH7
ALKBH8	ALKBH8
ALMS1	ALMS1
ALOX12	ALOX12
ALOX5	ALOX5
ALOX5AP	ALOX5AP
ALPK1	ALPK1
ALS2	ALS2
ALS2CL	ALS2CL
ALS2CR12	ALS2CR12
ALYREF	ALYREF
AMACR	AMACR
AMBRA1	AMBRA1
AMD1	AMD1
AMDHD1	AMDHD1
AMDHD2	AMDHD2
AMER1	AMER1
AMFR	AMFR
AMIGO1	AMIGO1
AMIGO2	AMIGO2
AMMECR1	AMMECR1
AMMECR1L	AMMECR1L
AMN1	AMN1
AMPD2	AMPD2
AMPD3	AMPD3
AMPH	AMPH
AMT	AMT
AMY2B	AMY2B
AMZ2	AMZ2
ANAPC1	ANAPC1
ANAPC10	ANAPC10
ANAPC11	ANAPC11
ANAPC13	ANAPC13
ANAPC15	ANAPC15
ANAPC16	ANAPC16
ANAPC2	ANAPC2
ANAPC4	ANAPC4
ANAPC5	ANAPC5
ANAPC7	ANAPC7
ANGEL2	ANGEL2
ANGPT1	ANGPT1
ANGPT2	ANGPT2
ANGPTL1	ANGPTL1
ANK1	ANK1
ANK3	ANK3
ANKAR	ANKAR
ANKDD1A	ANKDD1A
ANKEF1	ANKEF1
ANKFY1	ANKFY1
ANKH	ANKH
ANKHD1	ANKHD1
