	1	2	3	4	5	6	7	8	9	10
AADACL2	2.53792760680307e-05	2.8510458951353518e-05	-5.030453324236229e-05	4.0951869252934926e-05	-4.0847341212655566e-05	-5.724249590126352e-05	-1.2475821448219794e-05	-7.02227342164913e-05	-1.5792615103473985e-05	-3.485104293517762e-05
AADACL3	2.315419534531036e-05	-5.321765596286847e-05	6.551984236028232e-05	2.943045591424802e-06	-3.030825968025468e-05	1.104543366371203e-05	-1.3493496811693226e-05	-9.589471919801656e-05	2.5041009063347843e-05	-5.2824091967116805e-05
AADACL4	-2.848598176550797e-05	-7.370576804513391e-05	0.0001773890097294	-4.032308249709462e-06	9.111512657113252e-05	-0.0002505598197456	0.0001000338929762	0.0002049919717324	-3.698168435258479e-05	2.735103392701356e-05
AADAT	2.2155582781355743e-05	-2.262641340151816e-05	0.0001312208742416	-2.775921185779113e-06	2.6739521227881077e-06	-0.0003614784912173	5.911007826916285e-05	4.945943346372508e-05	6.986567918055112e-05	-0.000126587515238
AAED1	-0.0001212628469133	9.86440910626342e-05	-8.926855802541864e-05	-0.0002344588257713	0.0001857546804879	0.0001524589487986	-0.0001034706319321	0.0014888807245994	-0.0002229267590204	-0.0002386484723233
AAGAB	0.0001693797400548	-5.488260199463948e-05	0.0003141241239629	0.0001658096463434	5.6218031161409264e-05	-0.001634686947868	0.0001637694153389	0.0004105047498804	-1.1037053799734329e-05	-0.0003328248387583
AAK1	0.0003464568170895	0.0005505710764548	-7.3948321127607935e-06	0.0002630202758302	0.0003177228813494	-0.0029941427657753	-0.0001320275673239	-0.0008910439150604	-9.549813667392432e-05	4.3787858760463246e-05
AAMDC	3.083346378250475e-05	0.0002387351437168	-3.596085668296231e-05	4.2978593319997605e-06	7.770481516874002e-05	-0.0006974589948726	1.3148616373787747e-05	-0.0003993557203504	-7.458339243187165e-06	-7.48341965412383e-05
AAMP	-0.0001142236395893	-0.0001938970574106	1.0815986557435831e-05	-2.115418188433244e-05	-0.0001455110971531	0.0012253269442302	-4.40835473656092e-05	-9.034148394602272e-05	-2.720889838714213e-05	-0.0003512219477224
AANAT	-9.2189213661698e-06	-1.4515759443948943e-05	0.0001873574660226	4.4628051876223205e-07	-3.737947149160163e-05	-0.000219716842746	8.230494885787906e-05	3.90247143160056e-05	-0.0001154273607845	-0.0002421475920013
AAR2	7.474428319194803e-05	4.356766396156187e-05	0.0002389084308482	2.656415931792812e-05	1.679840104194401e-05	-0.0006811724610275	1.0496352958967554e-06	-0.0002342966783071	1.0461383834837372e-05	-8.443646931610032e-05
AARD	0.0001666741419862	-0.0001334637649363	-3.964046837754694e-05	-5.603219623939877e-05	3.469259187303215e-05	-0.0001009725170945	-1.0951606115566568e-05	-0.0002289519071627	-4.482020658748238e-06	-0.0001674954235979
AARS	6.533142347960283e-05	-7.97304296046091e-05	-8.061767450019363e-05	4.769098158893606e-05	1.7990972545557348e-06	-0.0001121629293356	-2.996903291842065e-05	0.0004067987613518	4.7877979838263175e-05	0.0001626107425235
AARS2	7.512768800863665e-05	8.263760532065692e-06	5.565766386219348e-05	7.17727119570699e-05	3.373334091005076e-05	-0.0005209130011839	-4.469772698252969e-06	-4.344341361120509e-05	3.4786768965963064e-05	3.695002427089584e-05
AARSD1	-4.64168405404467e-05	-9.734006584712624e-05	-8.885579541471236e-05	1.7269266451230007e-05	-0.0001008854515738	0.0006662954803464	-1.4507922079182446e-05	-5.653438794371868e-05	-2.3823952978913063e-05	0.0005216522958376
AASDH	1.1656313074917238e-05	7.23612277678715e-05	-8.936669699649355e-05	5.687194802468913e-06	-6.711618189348908e-05	2.6727431971086783e-05	6.84200974926148e-06	-0.0001247878907428	-8.160258782308992e-05	-3.420277545444241e-05
AASDHPPT	6.469977471098204e-05	-9.68664192266648e-05	-0.0002333394024289	1.0041755151515717e-05	8.662806638261476e-05	0.0003760026970102	-3.7039891088375175e-05	-0.0002773453332833	6.398156283978623e-05	8.275704250627863e-05
AASS	-9.742863040571144e-05	0.0002997340100805	-9.723312898982972e-05	-8.547815359240736e-05	0.0002788935044723	-0.0004685983888386	2.3164933523344917e-05	-1.946785915721825e-05	8.699497990300917e-05	-0.0002093348140039
AATF	0.0002024868290909	-0.0001272771481814	0.0007676930950167	0.0002390981276396	0.0001956866792538	-0.0020047175344492	-8.676810019978564e-05	-5.284165526650735e-05	-0.000186553356	-0.0004170828272007
AATK	0.000111656339377	8.068841614503182e-05	-7.164048485655162e-05	0.0001551756988039	-0.0002749188555834	-0.00034526260683	-8.773746323743904e-05	8.235306702324083e-05	1.1166076137312847e-05	3.534179323466034e-05
AATK-AS1	1.8615758890837247e-05	-7.018494389927685e-05	-6.104726992716611e-05	5.671419073873676e-05	-2.447570774249996e-06	0.0001443107861725	1.6932685091743047e-05	7.790549412143128e-05	-9.746393603376546e-05	-8.626320425557141e-05
ABAT	0.0002593969125094	-1.0163437828739834e-05	0.000199975848716	4.084370795857325e-05	8.51475545411444e-05	-0.0014067863362842	-7.005725873388837e-05	8.257517615528604e-05	-2.075168114854421e-05	-9.278555128056334e-05
ABCA1	-0.0002218082576879	7.568710696605725e-05	0.0003894734593835	-6.781983311260855e-06	-7.069060553662837e-05	-0.0007346720698423	-7.522995970035644e-05	0.0006949278080343	0.0018302851559408	0.0004529836357471
ABCA10	0.0001147030649924	0.0004379534692835	0.0002185004912127	-0.0001843299925458	-0.00010405323634	-0.0012337544317159	3.305238951660105e-05	-0.0003825002048501	-8.083523885605556e-05	-0.0002707194642785
ABCA12	5.134502381877273e-05	-3.508405673203443e-05	2.9787731844430036e-05	6.742823588230817e-05	4.770307291955346e-05	-0.0002844916798004	3.361529727974459e-05	-4.7000396946735e-05	-7.803698514592214e-05	-0.0001504741069237
ABCA13	2.163403265829972e-05	-5.935767885614467e-06	8.4269440388958e-05	-3.2777727205208534e-05	7.591242240939236e-05	-0.0003440217965945	-3.18011178543164e-05	0.0004523720406111	0.0001082187623742	6.583524172755905e-05
ABCA2	-9.909414211261264e-05	8.150212587593574e-05	-7.01235741740573e-05	0.0001841113431379	-3.943016132169124e-05	3.5720201666492835e-05	-0.0001410735255402	0.0001797198982526	-2.5141287005418308e-05	0.0001106336140143
ABCA3	0.0001146764482631	9.717393954552546e-05	-7.655769988580124e-05	-0.0002018510241691	0.000272949213759	-0.0005715253243713	-2.240307216615787e-05	-8.355749700697579e-05	8.069970977254229e-05	-0.0003905591927272
ABCA4	7.536973212656196e-05	-6.522453453403085e-05	-7.4377392220059345e-06	3.430228784098786e-05	-4.5600149576686646e-05	-5.441365402787652e-05	-1.9422575396115555e-05	-0.0001043411493952	2.16748099025521e-05	-0.0001502479154379
ABCA5	0.0001546781439091	0.0003998375611536	0.000283379781033	-0.0001841721917922	1.1171831162374968e-05	-0.0016492019726077	-0.0001497883838103	0.0001443977193988	4.0372233685620577e-05	0.0001733820163702
ABCA6	0.0001157547337845	3.373272679058229e-05	-1.1242977007089982e-05	-2.4293000233375293e-05	-0.0001820539282777	-0.0002061074411345	4.324686194867549e-05	-8.370150597818568e-05	-0.0001021861971047	-0.0002586598272924
ABCA7	-3.722984864142579e-05	0.0001811308884708	-0.000123869503536	5.206616029662693e-05	4.214389140462974e-06	-0.0005966037717705	0.000286777234199	0.000168779595829	-5.9179668812236696e-05	-2.2850535788106247e-05
ABCA8	8.792277818079031e-06	-2.167832163090225e-06	3.784770630264688e-05	2.1206477933477516e-05	-8.06435874552952e-05	2.569998629767789e-05	-1.5357800450018732e-05	-0.000134703476915	-2.8964325483162574e-05	2.2531138687117564e-05
ABCA9	4.992161139220467e-05	0.0001634470728723	-8.471259367055549e-05	-4.665405333516664e-05	-0.0001572241249419	-0.0003734967755364	-0.0001587907203648	-0.0001602015645028	0.0012201991989268	-0.0002146670179792
ABCB1	-0.0003090846821323	0.000623989298735	0.0003549491327973	0.0002779477777077	-3.622795504339621e-06	-0.0018963349408524	0.0001029352244204	0.0007861756061752	-5.28009862061342e-05	0.0003716933529787
ABCB10	0.0001710399093166	5.075850724015114e-05	-6.211114429339916e-05	0.0002822151451402	0.0001484693383549	-0.001121669181491	3.792702731057519e-05	-0.0004396608540157	-4.852007631997884e-05	-9.762223273552694e-05
ABCB11	1.037298930353946e-06	5.007153390248372e-05	3.929392916184462e-05	3.9293307118721606e-05	-6.641867745494835e-05	-0.0001853146283991	1.3506908203013882e-05	-0.0001933885598056	5.441952183862333e-05	-0.0001244675818866
ABCB4	6.455807977384462e-05	1.3967364289490734e-05	1.6909081526032754e-05	7.863950404322536e-05	-1.7379836500568595e-05	-0.0003686339331623	3.213471155247787e-05	-0.0001690028388452	-8.139145452188322e-06	3.915407201628759e-05
ABCB5	3.5500829153010115e-05	4.1092351105170754e-05	4.998181494663846e-05	-9.8259786507172e-05	-3.277347161660428e-05	-0.000253248009876	-5.019501972035478e-05	9.667603475353366e-05	0.0004491504152977	6.491748957830951e-05
ABCB6	-5.063565403641943e-05	-3.749361384479779e-05	0.0003231445101807	-1.6413285115280296e-05	9.449605106605656e-05	-0.0003138546917932	-8.8397068893417e-06	9.969223108946574e-05	-5.789281026937108e-05	-8.965809031505249e-05
ABCB7	0.0001300086196486	3.525341568179096e-05	0.0003158414204289	0.0001256797998186	1.98386257122774e-05	-0.0012837092182401	4.572819587007538e-05	-0.0001831328660249	-1.536721414354836e-05	-3.985318304774948e-05
ABCB8	0.0001160294619359	-6.299916007219526e-05	-2.3981454159732302e-05	-2.318579602806308e-05	0.0001083642390834	-0.000195596341632	-8.122013626588846e-05	-0.0001757748837239	-7.143804316656669e-05	7.250765711945424e-05
ABCB9	7.503448192650654e-05	-8.44229435218403e-06	2.2781249065931424e-05	8.073778591928257e-06	5.5484248806041626e-05	-0.0004148845503332	-3.4735545582364055e-05	-3.806213440917903e-05	0.0002014522242152	0.0002191660408083
ABCC1	-0.0001182275182142	-1.5102916326344111e-05	0.0005999069801142	0.0002115175165006	0.000539231328234	-0.0022454793229447	0.0003069056929207	0.0008093475130664	0.0004870064507747	-2.496649560292047e-05
ABCC10	2.5444008950564864e-05	8.182592469882754e-05	-2.129351881358661e-05	-3.1357925673075184e-05	0.0002410361224203	-0.0004410921680199	-7.32373624550691e-05	-0.0001800174065036	9.42813198488369e-05	-0.000131892679235
ABCC11	-2.189630703911572e-05	8.872772912088355e-05	-6.134872299734024e-06	6.551608467516471e-05	-9.011144602733092e-06	-0.0001988684027888	-4.380472094539367e-05	8.918222874308662e-05	1.6363844865243323e-05	-2.854380665951524e-05
ABCC12	8.099658672191206e-06	7.262117284606187e-05	2.0347601983910704e-05	2.3823736915603407e-05	-2.645734123902393e-05	-0.0002255342166574	6.069925492484477e-07	-7.897031679489014e-05	4.7271410812121695e-05	-8.815892140740149e-05
ABCC2	0.0001148189682287	7.332775271224256e-05	1.281954033256374e-05	-5.1002852932591896e-05	-9.827233091871963e-06	-0.0005224984546538	-1.1641881909679276e-05	1.1313544229735552e-05	-7.817727426808029e-05	0.0005392938955209
ABCC3	-1.9588408856554698e-05	2.971863708961973e-05	0.0001108211735362	-2.7176561723449648e-05	-1.6185428528870858e-05	-0.0002714841267816	-7.056948246596127e-05	9.437609086514776e-05	0.0002020586867685	0.0029857019244131
ABCC4	6.709308014978159e-05	7.695040680430025e-05	7.469370241572549e-05	-9.940564698963093e-05	0.0003950600322242	-0.0009217892132046	0.0002207109216874	-0.0004619594689391	0.0001310714048356	3.1885958326779413e-05
ABCC5	0.0001438273788912	0.000183929280775	-0.0001015512963619	5.1615378595364016e-05	0.0002980067916967	-0.0011358919447121	-7.335190286945011e-05	-0.0003658184796709	6.485147076231001e-05	0.0003009936790838
ABCC6	-5.775846607638123e-05	7.484381175813989e-05	0.000272964723161	-8.089621455434405e-05	8.083795345934483e-05	-0.0005307677267734	0.0001251875410773	-0.0001008965953763	-4.49962356177917e-05	0.0004699841667791
ABCC8	4.649372918345652e-06	-6.830423878919737e-06	8.06447302505835e-05	1.7490026100334435e-05	4.024260036892238e-05	-0.0002408717438629	0.0001273134529109	-0.0002836050289369	-8.885681911196137e-05	-7.926981244387879e-05
ABCC9	4.098058527463943e-05	1.2029101388759374e-05	7.369815606267075e-05	-2.565115200090699e-05	8.645514781193329e-06	-0.0003251197942659	5.850165415297818e-05	4.328382918084216e-05	-9.256744170209692e-05	-0.0001076626181047
ABCD1	6.888446331304556e-05	-2.735956261548959e-05	7.577725480702348e-05	4.8140939467654566e-05	-2.458242792907257e-05	-0.0003204292171476	6.977547029450012e-06	-0.0002986994407368	2.103371626254941e-05	0.0003009517933303
ABCD2	-0.0003151961880548	-0.0002634173139651	-0.0003030048492527	0.0001614236297584	0.0024606703319005	-0.0009819580090445	-1.548165320474168e-05	5.968955665614295e-05	-2.0438499105673697e-05	-0.0004027405952215
ABCD3	0.0001958583062631	7.692793649726837e-05	0.0003318693242319	-5.806656835545818e-06	0.0001757084828191	-0.0015140406629539	-4.285858864372575e-05	-0.0003722232655519	2.3843667287951025e-05	0.0002622622556875
ABCD4	-2.7267537440926376e-05	7.379194999892298e-05	7.953478664134008e-05	2.2845993302492805e-05	-4.160010654282335e-05	-0.0001730431480204	-3.984979532336998e-05	-0.0001618836773311	8.443952270301047e-05	-0.0004458048275983
ABCE1	-7.604104446650696e-05	-3.185719281503227e-05	-0.0001844658968262	0.0002144469905089	0.0001307332799335	0.0002243678810864	0.0001121621026744	-0.0003944195589681	1.370663226714576e-05	-0.000343379786028
ABCF1	-5.109730436658988e-05	-0.00016774848697	0.0001110908841753	-4.660985703220572e-05	-5.918303976944774e-05	0.0003581413896691	-9.325845515578576e-05	0.0009872076369056	-0.0001012099177503	-1.895709592017028e-05
ABCF2	-4.843820721687605e-05	3.6229961216690574e-06	-0.0001726116361754	0.0001103106213242	0.0001218734867398	0.0002964228256429	-4.610544093611031e-05	-0.0003120327132876	0.0001947614638812	-0.0002116718843492
ABCF3	-6.268836825570368e-05	5.468136338716602e-05	5.882819720834176e-05	-2.009372462704474e-05	3.3790167164227624e-05	0.0001149439292253	-9.287998326120284e-05	-4.962699553836394e-05	1.5398717135419798e-05	-6.905919663621633e-05
ABCG1	-0.0001438006840473	0.0002154645277957	0.0001503766663961	-5.955484325359101e-05	-0.0002151874632071	-0.0007849989299305	0.0002849323016532	0.0011459976756397	0.0006126861179587	7.121597034615425e-05
ABCG2	0.0001059194818757	0.0001530132195705	-0.0001104683392867	2.7602708425864308e-05	-0.0001981895972881	-0.0003418799458117	-2.4478541635169118e-05	-0.0002067183900471	8.14052414460168e-05	0.0004611634850596
ABCG4	6.225157231990694e-05	-1.3045807497847412e-05	-4.868853760865127e-05	2.6879910270664405e-06	-6.325232695344353e-06	-0.0001767172413909	-2.432254532676531e-05	0.0002846246793475	-1.999129641377531e-05	-8.494001084165653e-05
ABCG5	-3.944805003902492e-06	0.0001506874341232	-0.0001519270121567	-1.9948506972941925e-05	-1.2933293986634515e-05	-0.0001011962236636	2.0822596225465868e-05	1.1197450605250344e-05	-4.264469719435675e-05	-7.712182803786491e-05
ABCG8	1.3406421848084368e-05	-1.4193020561471907e-05	-5.465169367961553e-07	-1.3337617112959642e-05	0.0001084757163502	-9.204838522938832e-05	2.275445106595344e-05	-6.220338655797053e-05	-6.954485673235406e-05	-0.0002065986026207
ABHD1	8.029088551443442e-06	9.010243636197906e-05	4.277563157101992e-05	-8.837813313120395e-05	-1.5085648107000886e-05	-8.666739590848722e-05	3.4591189455820947e-06	-0.0003093070676346	-5.0583836049675366e-05	-0.0001395944347461
ABHD10	0.0001954469654238	-0.0001094206843699	-0.0001146244867499	1.6862470068512112e-05	6.953121185765136e-05	-0.0002669233146265	-5.256796397804246e-05	-0.0001231979574659	-9.50445362176461e-05	-5.402034432792895e-05
ABHD11	-6.077177799436279e-05	-6.900023105239955e-05	4.137685804076777e-05	-2.470059629604252e-05	-7.062827650459619e-05	0.0005290854715455	-7.407731850704087e-05	-5.875400970576971e-05	3.804398276819529e-05	-1.197292983071503e-06
ABHD12	8.753374648898405e-05	-0.0001704744655083	0.0006336024418856	-6.704963982361948e-06	7.661393627128505e-06	-0.0012131763776268	0.0002605931831531	0.0002961845304605	-0.0001748666589002	6.673899634941657e-05
