1	2	3	4	5	6	7	8	9	10
PTGDS	AGTPBP1	ZFP36	PRKCB	THEMIS	RPS25	RPS18	DNAJA1	WDR72	SMOX
PIP4K2A	L3MBTL4	USP36	AOAH	CD8B	RPL9	IRAK3	BHLHE40	ROR1	TREM1
PRF1	ZEB1	RABGEF1	SKAP1	SESN3	RPL34	SMAP2	DDX3Y	MIR99AHG	TLX2
RAP1B	SKAP1	AOAH	PPP3CA	PTPRC	RPL5	TAF4B	EIF1	BCL11A	ABCC3
PRSS23	IL18R1	CMIP	ADAM28	SH3BGRL3	PTMA	RPS2	REL	BCL2	SEPT5
MBNL1	SLC4A10	REL	MTHFD1L	SATB2	RPL35	CNTNAP2	TSPYL2	AIF1	PROS1
RNF213	ANKRD44	WDR47	ZNF609	ARHGEF28	RPL37	RPLP1	NR4A1	ZNRF1	RAB13
TGFBR1	LINC00623	TRAPPC10	RAP1GAP2	XIST	RPL24	EPHA4	WDR74	ACY3	C19orf33
APBA2	SLCO3A1	TRAF3	SESTD1	LGALS1	RPL10A	NCALD	NEAT1	MEF2C	HIST1H2AC
GRIK4	TRPS1	ZNF571	RASA2	ASCL2	RPS9	RASSF8	DDX3X	GNAQ	LCN2
INPP5A	EXOC6B	RAB2A	DZIP3	ZBTB38	RPS19	SLC44A1	TULP2	P2RY14	GFI1B
PREX1	STAT4	SLC12A2	SKAP2	ARHGAP10	RPL27A	RPL13A	PER1	MED12L	TGM7
PYHIN1	GLCCI1	SORL1	AGK	GOLM1	RPL8	TMEM123	KMT2E	TEC	FOLR2
PDE4D	TMEM117	SMCHD1	MBD5	HLA-DPB1	RPS29	KLRC2	CRY1	FXYD5	ESAM
KAT2B	SORL1	PDE3B	ADGRA3	TRPC1	RPL14	ARAP2	GADD45B	PRAM1	HRASLS
CHST11	NCALD	ANKRD11	SLC4A10	FRMD4B	RPS5	HVCN1	CCL4	RPS6KA2	CYP4F11
NEAT1	NEIL1	MAPK8	TGFBR3	CRIP1	GZMA	MTM1	SRSF7	TTLL10	RGS10
ZFYVE28	ANK3	RELB	DOCK8	TRAC	CFL1	MSRB3	RHOB	DST	NFE2
NFATC3	IFNGR1	ATP2B1	LINC00854	CDC14B	RPS4X	YBX3	RAB8B	IRAK3	TRIM58
ARHGEF3	FTX	SLA2	FYB	ATL1	RPL37A	DENND5A	SQSTM1	CARMIL1	EGR3
HIVEP3	ARHGAP26	CXCR4	TNIK	PRSS23	RPL13A	RPL23	PRKCG	CDC14A	GAS2L1
SLC9A9	ITCH	AUTS2	NEAT1	PALLD	MYL12A	MMRN1	TIPARP	MAML2	PLCZ1
MCTP2	TANC2	ARID4B	ABHD17B	FRMPD3	RPL22	DACH1	CD44	AFAP1L1	OR7G2
ARL15	ADCY9	SYAP1	PTPRD	RABGAP1L	RPSA	UST	EGR1	TSPAN18	GRB14
IQGAP2	FYN	FUS	LCLAT1	KIF21A	HLA-C	INPP4B	SLC2A3	SLC24A3	MFAP3L
GRK5	PARK2	DNAJB6	FHIT	ANXA1	GNLY	DOCK10	YWHAZ	JCHAIN	ITGA2B
TFDP2	AFF1	IFNGR1	HIVEP1	TCERG1L	S100A4	HAPLN3	CDK17	ST6GALNAC3	SCN1B
CD226	UTRN	PDZD8	MICAL2	PTPRM	RACK1	ASPH	ZNF331	SH3BP4	S100A8
PLCL2	BBS9	CCDC97	NEK7	HLA-DRB1	HLA-B	RPL3	GNG2	GRAMD1B	KLHL41
IKZF1	WWC2	TNFAIP3	SLFN5	GDPD5	HCST	FXYD2	TRA2A	NCF1	CD36
GNG2	ADARB1	IER2	CDK19	DSTN	MYL6	CNR2	RRP12	ZMIZ1	DKKL1
LPP	MCUB	ARIH1	LINC01122	CD2	EIF1	CMC1	ARIH1	ALCAM	CD1D
RABGAP1L	NEO1	ATG2A	DOCK10	B3GAT1	RPS21	AKT3	HIPK1	ABCA1	RGS22
PRKCB	CLEC2D	TNRC6B	SCFD2	TTC16	RPL36	CD74	POLR2A	GRB10	TAGLN2
BCL2	SAMD12	PPP3R1	PDE7A	MXRA7	RPL7	PLCL2	IFFO2	RAB32	SLC6A11
VCL	SNX9	MADD	VPS13B	MIR4435-2HG	SERF2	DNAH14	TUBA1A	CCR7	ANKRD34C-AS1
DGKK	EVA1C	PSME4	JAZF1	S100A10	EEF1B2	CDHR1	WHAMM	TCF7	RAB32
PTPRA	ZFYVE9	VPS37B	LRCH1	FCGR3A	HLA-A	CRTAM	XCL1	ARHGAP15	CYBB
MAPRE2	LRBA	SKI	FNBP1	DOCK5	IFITM2	RPS23	PABPC1	GAPT	SNCA
ADGRG1	TXNIP	PPP2R3A	OSBPL3	TOB1	FTH1	KANSL1L	AKAP13	TIMP2	MDH1B
STX8	DIAPH2	SUCO	SUSD1	HLA-DPA1	FTL	CHPT1	BCLAF1	GAB1	IGFALS
FAM53B	TMEM65	DDX6	TBC1D5	ST6GAL1	RPLP0	GPR155	H1FX	SELL	ADORA1
SLC14A1	TNRC6B	LYN	PRKACB	C20orf194	CLIC1	CELSR1	KDM6B	PAG1	TMEM253
ADAM10	DOCK7	KDM6A	RELL1	TM4SF19	RPS20	RPS15A	GATA3	GATA3	CTAGE6
CCND3	LYAR	CRY1	TANC1	FAM129A	ATP5E	RPL36A	TRA2B	WNT9A	LINC00366
