	1	2	3	4	5	6	7	8	9	10	11
AADACL2	6.402084988536603e-06	5.881551131314209e-05	-1.3016459039581597e-05	-4.543555503668887e-05	-1.4788542562237384e-05	-1.8625864207223665e-05	-2.3304654418421314e-05	-1.7002639497610663e-05	-4.9192759343697e-05	-9.225971042865636e-05	-1.655219509196657e-05
AADACL3	7.654066651804562e-06	3.065391054056595e-05	1.723369876605241e-05	-3.141966813901405e-05	-1.1530265510681036e-05	-4.343096638559208e-05	-3.230588041735014e-05	-1.3858179964456042e-05	7.049291601146801e-05	-9.857478791553152e-05	1.66858158128919e-06
AADACL4	2.194822221328029e-05	-1.7990521181073588e-05	4.813506374987014e-06	-5.174372833285202e-06	-3.1519061281814266e-05	-2.357835779154928e-06	2.8590054357832745e-05	-3.256878193139688e-05	4.247478436311175e-05	-0.000112661523319	0.0005377206341516
AADAT	-2.409337625929741e-05	-5.953857123226282e-07	-1.771191436088195e-05	-7.321570634021486e-05	4.782085029809808e-05	3.205115061776265e-05	8.220581384724225e-05	3.934481996896276e-05	-6.894505482485571e-05	-0.0001219030380892	-2.682479271666795e-05
AAED1	-0.0003776365772546	-0.0001632449954579	-0.0001809052129019	0.0006303152298816	-0.0003034012254674	0.0005310538353046	0.0004250631575208	0.0001002237081968	0.0001308847045343	2.155395374953632e-06	0.0002218900742763
AAGAB	-0.0004602346637916	0.0002709650061114	0.0002817865218769	7.435166723684648e-06	-6.0847776318325456e-05	-0.0004750174457411	0.0002714054120212	0.0005436861638591	-0.0003936820421185	-4.160388923142742e-05	6.905508473977165e-05
AAK1	-8.41607713617465e-05	0.0004307337819653	-0.0003604077641923	0.0009942493506148	-0.0002825336326786	-0.0006477215656599	0.0003675256883721	-0.0007351738711593	-0.0003873988626703	-0.0005425303002988	0.0005916088487938
AAMDC	-0.0001351870851075	0.0001224862068048	3.377864480974492e-05	-5.241140696214378e-05	0.0002109883886439	-6.752100514999074e-05	-0.0001424132826161	-7.931219042581963e-05	0.0001292246156117	7.775377862626216e-06	9.144454192730667e-05
AAMP	-0.0002172796535125	-0.0001060397434906	0.0002424503679345	-0.0001015120034784	-5.9376220533258114e-05	0.0005688912013547	-0.0001376409506574	-7.708364122444504e-05	0.0001015992644372	0.0001480584697259	8.644466603297411e-05
AANAT	-6.812020548972032e-05	-3.611536651410128e-06	-4.311444366558074e-05	-4.1632340398303177e-05	0.000429661733255	-0.0001107387743873	-9.63173613313093e-06	-9.985953510806826e-05	2.2881031070678877e-05	-6.83056220174568e-05	0.0004643615058711
AAR2	-9.348265949508498e-05	0.000178044415777	1.4706217035386e-06	8.717492838098236e-05	-0.0002302437817779	-6.617121225596396e-05	-2.553230333751985e-05	-4.0019627623449466e-05	-0.0001503147044347	0.0001460306557187	9.148176939514968e-05
AARD	-2.1543179949957635e-05	-1.3496686497385096e-05	5.393819725120276e-06	-4.6485476868254445e-05	0.0001483493851668	5.562682767999292e-06	-1.4412993155612216e-05	5.8413681422279474e-05	-5.760317496929271e-05	-9.950341549222214e-05	-1.888697425987145e-05
AARS	-0.0001370422197302	0.0001093133748268	1.4575108371836558e-05	-4.790927104431013e-05	-0.0001694299307817	0.0003402757062717	-9.182131198225406e-05	-0.0001807112057788	-8.251633994556694e-05	0.0001741175918679	0.0001722574574843
AARS2	-1.451607894442558e-05	9.17803542002464e-05	-1.5612078894796077e-05	-5.765223118956508e-05	1.930626857638693e-05	7.757246150122607e-06	-7.078029719433305e-05	-7.60161696203029e-05	-0.0001163273622437	-6.569475437919576e-05	9.320341215471378e-05
AARSD1	-0.0001321231907752	7.62069573970516e-05	0.0001485224273678	-9.843225035805564e-05	-6.400097990058712e-05	0.0003964508128971	-0.0001384443792978	-0.0001611975911759	-0.0002557833923378	1.036648582313683e-05	-1.240534287639836e-05
AASDH	7.748678599108089e-05	0.0002442585995663	7.398039724752412e-05	-8.80922343638419e-05	1.752913568826854e-05	-0.0002185275301718	-0.0003521150303181	-0.0003316589503519	-0.0001056729830599	-8.650107004415996e-05	3.347321684486314e-05
AASDHPPT	0.0001118374848463	0.000105211203196	0.0001316553171246	-0.0001344332575445	-0.000236368345197	0.0002466033699477	-0.0004869559556288	-0.0002496856062625	4.304537585783818e-05	3.637058256573251e-05	6.463679129208052e-05
AASS	4.890348508271866e-05	1.349849019912186e-05	-7.304957380351567e-05	4.148270957675231e-05	1.2136612341561468e-05	-0.0001225757621606	3.985498509239029e-05	-7.250552443475398e-05	6.0542333046355885e-05	8.318872952242278e-05	-3.120904265264793e-05
AATF	-0.0002346481273549	0.0003406456439218	0.0001371588716864	-0.0003063800481307	-6.712961756300165e-05	-0.0003996080559846	0.0004200866892065	-9.253551046427128e-05	-0.0001054903802638	-0.0001793171464025	-7.181447108228405e-05
