	gene_symbol
AC006355.3	AC006355.3
AC006369.2	AC006369.2
AC006445.6	AC006445.6
AC006445.7	AC006445.7
AC006449.1	AC006449.1
AC006460.2	AC006460.2
AC006461.2	AC006461.2
AC006483.5	AC006483.5
AC006486.1	AC006486.1
AC006509.7	AC006509.7
AC006538.1	AC006538.1
AC006539.2	AC006539.2
AC006539.3	AC006539.3
AC006547.13	AC006547.13
AC006547.15	AC006547.15
AC006942.4	AC006942.4
AC006946.12	AC006946.12
AC006946.16	AC006946.16
AC006960.5	AC006960.5
AC006978.6	AC006978.6
AC006994.1	AC006994.1
AC006994.2	AC006994.2
AC007000.11	AC007000.11
AC007016.3	AC007016.3
AC007038.7	AC007038.7
AC007040.11	AC007040.11
AC007041.2	AC007041.2
AC007161.5	AC007161.5
AC007163.3	AC007163.3
AC007163.6	AC007163.6
AC007192.6	AC007192.6
AC007193.9	AC007193.9
AC007228.11	AC007228.11
AC007228.9	AC007228.9
AC007229.3	AC007229.3
AC007237.2	AC007237.2
AC007238.1	AC007238.1
AC007246.3	AC007246.3
AC007256.5	AC007256.5
AC007272.3	AC007272.3
AC007279.2	AC007279.2
AC007283.4	AC007283.4
AC007285.6	AC007285.6
AC007308.6	AC007308.6
AC007308.7	AC007308.7
AC007318.5	AC007318.5
AC007365.3	AC007365.3
AC007365.4	AC007365.4
AC007381.2	AC007381.2
AC007382.1	AC007382.1
AC007383.3	AC007383.3
AC007383.4	AC007383.4
AC007383.6	AC007383.6
AC007386.3	AC007386.3
AC007387.2	AC007387.2
AC007389.1	AC007389.1
AC007389.2	AC007389.2
AC007390.4	AC007390.4
AC007395.4	AC007395.4
AC007551.3	AC007551.3
AC007559.1	AC007559.1
AC007560.1	AC007560.1
AC007563.4	AC007563.4
AC007566.10	AC007566.10
AC007618.3	AC007618.3
AC007620.3	AC007620.3
AC007677.2	AC007677.2
AC007679.3	AC007679.3
AC007679.4	AC007679.4
AC007690.1	AC007690.1
AC007790.4	AC007790.4
AC007879.5	AC007879.5
AC007880.1	AC007880.1
AC007899.3	AC007899.3
AC007969.4	AC007969.4
AC007969.5	AC007969.5
AC008063.2	AC008063.2
AC008065.1	AC008065.1
AC008067.2	AC008067.2
AC008072.1	AC008072.1
AC008155.1	AC008155.1
AC008264.4	AC008264.4
AC008269.2	AC008269.2
AC008277.1	AC008277.1
AC008280.1	AC008280.1
AC008427.2	AC008427.2
AC008440.5	AC008440.5
AC008443.1	AC008443.1
AC008592.3	AC008592.3
AC008694.2	AC008694.2
AC008752.1	AC008752.1
AC008753.3	AC008753.3
AC008850.3	AC008850.3
AC008937.2	AC008937.2
AC008937.3	AC008937.3
AC008948.1	AC008948.1
AC008964.1	AC008964.1
AC008982.2	AC008982.2
AC008984.2	AC008984.2
AC008984.7	AC008984.7
AC009005.2	AC009005.2
AC009065.1	AC009065.1
AC009120.3	AC009120.3
AC009120.6	AC009120.6
AC009133.12	AC009133.12
AC009133.14	AC009133.14
AC009133.15	AC009133.15
AC009133.17	AC009133.17
AC009228.1	AC009228.1
AC009234.1	AC009234.1
AC009238.6	AC009238.6
AC009245.3	AC009245.3
AC009263.2	AC009263.2
AC009299.3	AC009299.3
AC009302.2	AC009302.2
AC009302.4	AC009302.4
AC009303.1	AC009303.1
AC009362.2	AC009362.2
AC009403.2	AC009403.2
AC009404.2	AC009404.2
AC009413.2	AC009413.2
AC009414.1	AC009414.1
AC009473.1	AC009473.1
AC009474.2	AC009474.2
AC009480.3	AC009480.3
AC009480.4	AC009480.4
AC009495.2	AC009495.2
AC009501.4	AC009501.4
AC009505.2	AC009505.2
AC009506.1	AC009506.1
AC009517.2	AC009517.2
AC009945.4	AC009945.4
AC009948.5	AC009948.5
AC009948.7	AC009948.7
AC009950.2	AC009950.2
AC009951.1	AC009951.1
AC009960.1	AC009960.1
AC009961.2	AC009961.2
AC009961.3	AC009961.3
AC009961.5	AC009961.5
AC009963.5	AC009963.5
AC009963.6	AC009963.6
AC009974.11	AC009974.11
AC010091.1	AC010091.1
AC010095.6	AC010095.6
AC010095.7	AC010095.7
AC010132.11	AC010132.11
AC010150.1	AC010150.1
AC010226.4	AC010226.4
AC010240.2	AC010240.2
AC010240.3	AC010240.3
AC010327.2	AC010327.2
AC010468.1	AC010468.1
AC010492.2	AC010492.2
AC010504.2	AC010504.2
AC010522.1	AC010522.1
AC010547.9	AC010547.9
AC010642.1	AC010642.1
AC010677.5	AC010677.5
AC010729.1	AC010729.1
AC010733.5	AC010733.5
AC010733.7	AC010733.7
AC010760.1	AC010760.1
AC010761.6	AC010761.6
AC010761.8	AC010761.8
AC010878.3	AC010878.3
AC010883.5	AC010883.5
AC010886.2	AC010886.2
AC010894.3	AC010894.3
AC010894.4	AC010894.4
AC010894.5	AC010894.5
AC010970.2	AC010970.2
AC010976.2	AC010976.2
AC011225.1	AC011225.1
AC011242.5	AC011242.5
AC011290.5	AC011290.5
AC011322.1	AC011322.1
AC011385.2	AC011385.2
AC011484.1	AC011484.1
AC011558.5	AC011558.5
AC011747.7	AC011747.7
AC011753.6	AC011753.6
AC011899.9	AC011899.9
AC011933.2	AC011933.2
AC011997.1	AC011997.1
AC011998.4	AC011998.4
AC012065.5	AC012065.5
AC012065.7	AC012065.7
AC012066.1	AC012066.1
AC012075.1	AC012075.1
AC012123.1	AC012123.1
AC012146.7	AC012146.7
AC012314.8	AC012314.8
AC012354.8	AC012354.8
AC012358.4	AC012358.4
AC012358.8	AC012358.8
AC012487.2	AC012487.2
AC012493.1	AC012493.1
AC012497.2	AC012497.2
AC012512.1	AC012512.1
AC012513.4	AC012513.4
AC012671.2	AC012671.2
AC013264.2	AC013264.2
AC013267.1	AC013267.1
AC013394.2	AC013394.2
AC013399.3	AC013399.3
AC013404.1	AC013404.1
AC013410.1	AC013410.1
AC013429.5	AC013429.5
AC013442.1	AC013442.1
AC013449.1	AC013449.1
AC013460.1	AC013460.1
AC013470.6	AC013470.6
AC013717.3	AC013717.3
AC013733.5	AC013733.5
AC015849.14	AC015849.14
AC015849.2	AC015849.2
AC015871.1	AC015871.1
AC015971.2	AC015971.2
AC015977.5	AC015977.5
AC015987.1	AC015987.1
AC015987.2	AC015987.2
AC016292.3	AC016292.3
AC016405.1	AC016405.1
AC016405.2	AC016405.2
AC016586.1	AC016586.1
AC016629.8	AC016629.8
AC016691.2	AC016691.2
AC016697.1	AC016697.1
AC016700.3	AC016700.3
AC016700.4	AC016700.4
AC016700.6	AC016700.6
AC016708.2	AC016708.2
AC016712.2	AC016712.2
AC016716.1	AC016716.1
AC016722.4	AC016722.4
AC016724.6	AC016724.6
AC016727.3	AC016727.3
AC016732.2	AC016732.2
AC016734.2	AC016734.2
AC016737.1	AC016737.1
AC016739.1	AC016739.1
AC016739.2	AC016739.2
AC016747.3	AC016747.3
AC016753.7	AC016753.7
AC016757.3	AC016757.3
AC016772.4	AC016772.4
AC016773.1	AC016773.1
AC016831.6	AC016831.6
AC016831.7	AC016831.7
AC016894.1	AC016894.1
AC017035.2	AC017035.2
AC017076.5	AC017076.5
AC017078.1	AC017078.1
AC017079.3	AC017079.3
AC017079.4	AC017079.4
AC017080.1	AC017080.1
AC017083.2	AC017083.2
AC017104.2	AC017104.2
AC017104.6	AC017104.6
AC018462.2	AC018462.2
AC018463.4	AC018463.4
AC018463.5	AC018463.5
AC018720.10	AC018720.10
AC018735.1	AC018735.1
AC018738.2	AC018738.2
AC018755.1	AC018755.1
AC018755.16	AC018755.16
AC018766.4	AC018766.4
AC018766.5	AC018766.5
AC018804.6	AC018804.6
AC018804.7	AC018804.7
AC018816.3	AC018816.3
AC018865.5	AC018865.5
AC018890.6	AC018890.6
AC019048.1	AC019048.1
AC019050.1	AC019050.1
AC019080.1	AC019080.1
AC019097.7	AC019097.7
AC019109.1	AC019109.1
AC019118.2	AC019118.2
AC019129.1	AC019129.1
AC019178.2	AC019178.2
AC019181.3	AC019181.3
AC019201.1	AC019201.1
AC019221.4	AC019221.4
AC020571.3	AC020571.3
AC020910.2	AC020910.2
AC020983.5	AC020983.5
AC021016.6	AC021016.6
AC021016.7	AC021016.7
AC021021.1	AC021021.1
AC021188.4	AC021188.4
AC021224.1	AC021224.1
AC021860.1	AC021860.1
AC021876.4	AC021876.4
AC022154.7	AC022154.7
AC022182.1	AC022182.1
AC022182.2	AC022182.2
AC022182.3	AC022182.3
AC022210.2	AC022210.2
AC022400.2	AC022400.2
AC022431.1	AC022431.1
AC023449.2	AC023449.2
AC023490.1	AC023490.1
AC023590.1	AC023590.1
AC024082.3	AC024082.3
AC024082.4	AC024082.4
AC024560.3	AC024560.3
AC024937.6	AC024937.6
AC024940.1	AC024940.1
AC025171.1	AC025171.1
AC025262.1	AC025262.1
AC025335.1	AC025335.1
AC025750.5	AC025750.5
AC025750.7	AC025750.7
AC026202.1	AC026202.1
AC026202.3	AC026202.3
AC026271.5	AC026271.5
AC026740.1	AC026740.1
AC026806.2	AC026806.2
AC027307.3	AC027307.3
AC027601.1	AC027601.1
AC027612.1	AC027612.1
AC027612.6	AC027612.6
AC027763.2	AC027763.2
AC034220.3	AC034220.3
AC040977.1	AC040977.1
AC061992.2	AC061992.2
AC062017.1	AC062017.1
AC062029.1	AC062029.1
AC064834.2	AC064834.2
AC064847.4	AC064847.4
AC064850.4	AC064850.4
AC064852.5	AC064852.5
AC066692.3	AC066692.3
AC067945.3	AC067945.3
AC067945.4	AC067945.4
AC068039.1	AC068039.1
AC068039.4	AC068039.4
AC068134.10	AC068134.10
AC068137.13	AC068137.13
AC068282.3	AC068282.3
AC068491.3	AC068491.3
AC068499.10	AC068499.10
AC068522.4	AC068522.4
AC068535.5	AC068535.5
AC068538.2	AC068538.2
AC068580.6	AC068580.6
AC068620.1	AC068620.1
AC068657.2	AC068657.2
AC068831.10	AC068831.10
AC068831.15	AC068831.15
AC069154.4	AC069154.4
AC069213.4	AC069213.4
AC069257.6	AC069257.6
AC069277.2	AC069277.2
AC069282.6	AC069282.6
AC069363.1	AC069363.1
AC072052.7	AC072052.7
AC073052.1	AC073052.1
AC073055.2	AC073055.2
AC073063.10	AC073063.10
AC073065.3	AC073065.3
AC073072.7	AC073072.7
AC073109.2	AC073109.2
AC073115.6	AC073115.6
AC073115.7	AC073115.7
AC073254.1	AC073254.1
AC073325.2	AC073325.2
AC073333.8	AC073333.8
AC073343.13	AC073343.13
AC073410.1	AC073410.1
AC073415.2	AC073415.2
AC073465.1	AC073465.1
AC073465.3	AC073465.3
AC073569.1	AC073569.1
AC073869.1	AC073869.1
AC073869.20	AC073869.20
AC073958.2	AC073958.2
AC074008.1	AC074008.1
AC074019.2	AC074019.2
AC074117.10	AC074117.10
AC074117.13	AC074117.13
AC074121.4	AC074121.4
AC074138.3	AC074138.3
AC074183.4	AC074183.4
AC074286.1	AC074286.1
AC074289.1	AC074289.1
AC074290.1	AC074290.1
AC078883.3	AC078883.3
AC078883.4	AC078883.4
AC078899.1	AC078899.1
AC079150.2	AC079150.2
AC079199.2	AC079199.2
AC079210.1	AC079210.1
AC079248.1	AC079248.1
AC079250.1	AC079250.1
AC079305.10	AC079305.10
AC079305.5	AC079305.5
AC079325.6	AC079325.6
AC079354.1	AC079354.1
AC079354.2	AC079354.2
AC079354.5	AC079354.5
AC079354.6	AC079354.6
AC079602.1	AC079602.1
AC079630.4	AC079630.4
AC079741.2	AC079741.2
AC079753.4	AC079753.4
AC079753.5	AC079753.5
AC079767.3	AC079767.3
AC079767.4	AC079767.4
AC079776.4	AC079776.4
AC079807.1	AC079807.1
AC079807.2	AC079807.2
AC079807.3	AC079807.3
AC079834.1	AC079834.1
AC079922.2	AC079922.2
AC079922.3	AC079922.3
AC079949.1	AC079949.1
AC080125.1	AC080125.1
AC083799.1	AC083799.1
AC083855.5	AC083855.5
AC083862.6	AC083862.6
AC083863.5	AC083863.5
AC083873.4	AC083873.4
AC083875.2	AC083875.2
AC083884.8	AC083884.8
AC083899.3	AC083899.3
AC083900.1	AC083900.1
AC083949.1	AC083949.1
AC084018.1	AC084018.1
AC084082.3	AC084082.3
AC084219.3	AC084219.3
AC084219.4	AC084219.4
AC087163.2	AC087163.2
AC087294.2	AC087294.2
AC087499.5	AC087499.5
AC087650.1	AC087650.1
AC090043.1	AC090043.1
AC090186.1	AC090186.1
AC090286.2	AC090286.2
AC090453.1	AC090453.1
AC090587.2	AC090587.2
AC090602.2	AC090602.2
AC090616.2	AC090616.2
AC090625.1	AC090625.1
AC090627.1	AC090627.1
AC090804.1	AC090804.1
AC090945.1	AC090945.1
AC091133.1	AC091133.1
AC091177.1	AC091177.1
AC091492.2	AC091492.2
AC091633.2	AC091633.2
AC091633.3	AC091633.3
AC091654.7	AC091654.7
AC091729.9	AC091729.9
AC092106.1	AC092106.1
AC092106.2	AC092106.2
AC092155.1	AC092155.1
AC092159.2	AC092159.2
AC092295.7	AC092295.7
AC092301.3	AC092301.3
AC092431.2	AC092431.2
AC092568.1	AC092568.1
AC092569.2	AC092569.2
AC092570.3	AC092570.3
AC092570.4	AC092570.4
AC092573.2	AC092573.2
AC092580.4	AC092580.4
AC092610.12	AC092610.12
AC092620.2	AC092620.2
AC092625.1	AC092625.1
AC092638.2	AC092638.2
AC092641.2	AC092641.2
AC092642.1	AC092642.1
AC092646.2	AC092646.2
AC092652.1	AC092652.1
AC092662.2	AC092662.2
AC092664.1	AC092664.1
