	gene_symbol
RP11-930O11.1	RP11-930O11.1
RP11-930P14.2	RP11-930P14.2
RP11-950C14.7	RP11-950C14.7
RP11-958N24.1	RP11-958N24.1
RP11-95I16.4	RP11-95I16.4
RP11-96D1.7	RP11-96D1.7
RP11-973D8.4	RP11-973D8.4
RP11-973N13.4	RP11-973N13.4
RP11-98D18.15	RP11-98D18.15
RP11-98E6.1	RP11-98E6.1
RP11-98G7.1	RP11-98G7.1
RP13-216E22.4	RP13-216E22.4
RP13-39P12.2	RP13-39P12.2
RP13-452N2.1	RP13-452N2.1
RP3-329A5.8	RP3-329A5.8
RP3-340H11.2	RP3-340H11.2
RP3-355L5.4	RP3-355L5.4
RP3-359N14.1	RP3-359N14.1
RP3-403L10.3	RP3-403L10.3
RP3-420J14.1	RP3-420J14.1
RP3-428A13.1	RP3-428A13.1
RP3-432I18.1	RP3-432I18.1
RP3-465N24.6	RP3-465N24.6
RP3-468K18.6	RP3-468K18.6
RP3-477M7.6	RP3-477M7.6
RP3-509I19.6	RP3-509I19.6
RP3-510O8.4	RP3-510O8.4
RP3-521E19.2	RP3-521E19.2
RP4-539M6.22	RP4-539M6.22
RP4-561L24.3	RP4-561L24.3
RP4-564F22.5	RP4-564F22.5
RP4-591N18.2	RP4-591N18.2
RP4-593H12.1	RP4-593H12.1
RP4-595K12.1	RP4-595K12.1
RP4-597N16.1	RP4-597N16.1
RP4-650F12.2	RP4-650F12.2
RP4-654H19.2	RP4-654H19.2
RP4-655J12.4	RP4-655J12.4
RP4-665J23.1	RP4-665J23.1
RP4-665N4.8	RP4-665N4.8
RP4-680D5.2	RP4-680D5.2
RP4-686C3.7	RP4-686C3.7
RP4-740C4.7	RP4-740C4.7
RP4-743O11.1	RP4-743O11.1
RP4-751H13.7	RP4-751H13.7
RP4-769N13.7	RP4-769N13.7
RP4-789D17.5	RP4-789D17.5
RP4-799D16.1	RP4-799D16.1
RP4-816N1.7	RP4-816N1.7
RP5-1029F21.2	RP5-1029F21.2
RP5-1050K3.3	RP5-1050K3.3
RP5-1068B5.3	RP5-1068B5.3
RP5-1073O3.2	RP5-1073O3.2
RP5-1097F14.1	RP5-1097F14.1
RP5-1112D6.7	RP5-1112D6.7
RP5-1119A7.14	RP5-1119A7.14
RP5-1142A6.5	RP5-1142A6.5
RP5-1142J19.2	RP5-1142J19.2
RP5-1198O20.4	RP5-1198O20.4
RP5-827C21.6	RP5-827C21.6
RP5-855F16.1	RP5-855F16.1
RP5-867C24.4	RP5-867C24.4
RP5-884G6.2	RP5-884G6.2
RP5-892K4.1	RP5-892K4.1
RP5-899B16.1	RP5-899B16.1
RP5-902P8.10	RP5-902P8.10
RP5-977B1.11	RP5-977B1.11
RP5-991C6.4	RP5-991C6.4
RP5-994D16.9	RP5-994D16.9
RP5-997D16.2	RP5-997D16.2
RP5-998N21.8	RP5-998N21.8
RP6-109B7.5	RP6-109B7.5
RP6-33F8.1	RP6-33F8.1
RPL12P34	RPL12P34
RPL17P42	RPL17P42
RPL26P3	RPL26P3
RPL29P19	RPL29P19
RPL34P22	RPL34P22
RPS17L	RPS17L
RPS23P10	RPS23P10
RPS23P3	RPS23P3
RPS23P9	RPS23P9
RPS26P4	RPS26P4
RRAD	RRAD
RSF1-IT2	RSF1-IT2
RSPH10B	RSPH10B
SAPCD1	SAPCD1
SCGB3A2	SCGB3A2
SCN4A	SCN4A
SCT	SCT
SDCCAG3P1	SDCCAG3P1
SDR16C5	SDR16C5
SEC62-AS1	SEC62-AS1
SEPT7P3	SEPT7P3
SERINC2	SERINC2
SETP17	SETP17
SETP5	SETP5
SETP6	SETP6
SGCD	SGCD
SH3GL1P3	SH3GL1P3
SIDT1-AS1	SIDT1-AS1
SIGLEC18P	SIGLEC18P
SIRPD	SIRPD
SIRT4	SIRT4
SLC17A3	SLC17A3
SLC17A7	SLC17A7
SLC18A1	SLC18A1
SLC22A1	SLC22A1
SLC25A5P6	SLC25A5P6
SLC28A3	SLC28A3
SLC29A4	SLC29A4
SLC36A2	SLC36A2
SLC36A3	SLC36A3
SLC7A9	SLC7A9
SLCO1A2	SLCO1A2
SLFN14	SLFN14
SMAD1-AS1	SMAD1-AS1
SMAD1-AS2	SMAD1-AS2
SMC5-AS1	SMC5-AS1
SMIM2-AS1	SMIM2-AS1
SMIM5	SMIM5
SMOX	SMOX
SMPD4P1	SMPD4P1
SNORA37	SNORA37
SNORA70G	SNORA70G
SNORA80	SNORA80
SNORD15B	SNORD15B
SNORD59A	SNORD59A
SNORD93	SNORD93
SNRPGP3	SNRPGP3
SNX19P3	SNX19P3
SNX29P1	SNX29P1
SOS1-IT1	SOS1-IT1
SPAG4	SPAG4
SPATA41	SPATA41
SRXN1	SRXN1
STAC	STAC
STAP2	STAP2
STAR	STAR
STK19P	STK19P
STRADBP1	STRADBP1
STXBP6	STXBP6
SUGCT	SUGCT
SULT1C2	SULT1C2
SYCE2	SYCE2
SYCP1	SYCP1
SYF2P2	SYF2P2
SYN2	SYN2
SYNE4	SYNE4
SYT15	SYT15
SYT2	SYT2
TAL2	TAL2
TBC1D3F	TBC1D3F
TEX15	TEX15
TEX38	TEX38
TFAMP2	TFAMP2
TFP1	TFP1
THEM5	THEM5
TIGD4	TIGD4
TLCD1	TLCD1
TM4SF20	TM4SF20
TMC5	TMC5
TMC7	TMC7
TMCC2	TMCC2
TMEM213	TMEM213
TMEM217	TMEM217
TMEM231	TMEM231
TMEM247	TMEM247
TMPRSS13	TMPRSS13
TMPRSS15	TMPRSS15
TMPRSS4	TMPRSS4
TMSB4XP3	TMSB4XP3
TNNC2	TNNC2
TNR	TNR
TNS1	TNS1
TPBGL	TPBGL
TPI1P3	TPI1P3
TPM4P1	TPM4P1
TPTE	TPTE
TRAJ14	TRAJ14
TRAJ25	TRAJ25
TRAJ41	TRAJ41
TRAJ56	TRAJ56
TRAJ7	TRAJ7
TRBV7-4	TRBV7-4
TRDJ4	TRDJ4
TRDV3	TRDV3
TRIM74	TRIM74
TRIM9	TRIM9
TRNP1	TRNP1
TRPC3	TRPC3
TRPV1	TRPV1
TRPV6	TRPV6
TSPO2	TSPO2
TTC9B	TTC9B
TTTY5	TTTY5
TUBA3FP	TUBA3FP
TUBA4B	TUBA4B
TUBB8P8	TUBB8P8
TUBBP5	TUBBP5
TUSC1	TUSC1
TXNP3	TXNP3
U73166.2	U73166.2
UBE2CP4	UBE2CP4
UBE2E1-AS1	UBE2E1-AS1
UCN	UCN
UGT2A3	UGT2A3
UNC80	UNC80
VDAC1P11	VDAC1P11
VPS13A-AS1	VPS13A-AS1
VSIG10L	VSIG10L
VTN	VTN
VWA3A	VWA3A
VWA3B	VWA3B
VWF	VWF
WASH6P	WASH6P
WBSCR27	WBSCR27
WDR11-AS1	WDR11-AS1
WDR52-AS1	WDR52-AS1
WFDC1	WFDC1
WI2-81516E3.1	WI2-81516E3.1
WNT3	WNT3
WNT5B	WNT5B
XIRP2	XIRP2
XKR7	XKR7
XXbac-B444P24.10	XXbac-B444P24.10
XXbac-B444P24.14	XXbac-B444P24.14
XXbac-BPG154L12.4	XXbac-BPG154L12.4
XXbac-BPG157A10.21	XXbac-BPG157A10.21
YBX1P4	YBX1P4
YEATS2-AS1	YEATS2-AS1
Z69666.2	Z69666.2
Z69720.2	Z69720.2
ZBTB12	ZBTB12
ZDHHC11B	ZDHHC11B
ZDHHC15	ZDHHC15
ZG16B	ZG16B
ZNF114	ZNF114
ZNF205-AS1	ZNF205-AS1
ZNF285B	ZNF285B
ZNF630-AS1	ZNF630-AS1
ZNF702P	ZNF702P
ZNF723	ZNF723
ZNHIT1P1	ZNHIT1P1
ZNRF3	ZNRF3
ZYG11A	ZYG11A
hsa-mir-1199	hsa-mir-1199
hsa-mir-335	hsa-mir-335
ABCA4	ABCA4
ABCC8	ABCC8
AC003102.3	AC003102.3
AC004510.3	AC004510.3
AC004540.4	AC004540.4
AC004692.4	AC004692.4
AC004987.10	AC004987.10
AC005077.7	AC005077.7
AC005498.3	AC005498.3
AC005606.15	AC005606.15
AC005702.1	AC005702.1
AC005757.6	AC005757.6
AC006045.3	AC006045.3
AC006946.15	AC006946.15
AC006988.1	AC006988.1
AC007115.3	AC007115.3
AC007126.1	AC007126.1
AC007292.1	AC007292.1
AC007292.3	AC007292.3
AC009237.8	AC009237.8
AC009518.2	AC009518.2
AC010904.1	AC010904.1
AC011747.4	AC011747.4
AC012074.2	AC012074.2
AC015691.13	AC015691.13
AC015726.1	AC015726.1
AC018442.1	AC018442.1
AC019084.7	AC019084.7
AC019129.2	AC019129.2
AC020947.2	AC020947.2
AC055764.1	AC055764.1
AC055811.5	AC055811.5
AC064834.3	AC064834.3
AC064852.4	AC064852.4
AC064875.2	AC064875.2
AC068610.3	AC068610.3
AC069213.1	AC069213.1
AC073046.25	AC073046.25
AC083899.1	AC083899.1
AC087431.1	AC087431.1
AC091969.1	AC091969.1
AC092171.4	AC092171.4
AC092574.2	AC092574.2
AC093162.3	AC093162.3
AC096568.3	AC096568.3
AC097467.2	AC097467.2
AC097721.1	AC097721.1
AC098617.1	AC098617.1
AC106801.1	AC106801.1
AC112220.2	AC112220.2
AC127391.3	AC127391.3
AC138517.1	AC138517.1
ACTG1P3	ACTG1P3
ACVRL1	ACVRL1
ADAM11	ADAM11
ADAM32	ADAM32
ADAMTS3	ADAMTS3
ADAMTS9	ADAMTS9
ADAMTSL1	ADAMTSL1
ADCY2	ADCY2
AF121898.3	AF121898.3
AF235103.1	AF235103.1
AIFM3	AIFM3
AIMP1P2	AIMP1P2
AKR1B10P2	AKR1B10P2
AKR7A3	AKR7A3
AL022345.7	AL022345.7
AL031320.1	AL031320.1
AL049758.2	AL049758.2
AL079339.1	AL079339.1
AL133245.2	AL133245.2
AL139328.1	AL139328.1
AL359473.1	AL359473.1
AL590822.2	AL590822.2
AL627171.1	AL627171.1
AMOTL2	AMOTL2
ANKRD18B	ANKRD18B
ANKRD26P1	ANKRD26P1
ANKRD45	ANKRD45
ANO3	ANO3
AOC1	AOC1
AP000344.4	AP000344.4
AP001010.1	AP001010.1
AP003774.4	AP003774.4
AP005482.1	AP005482.1
AP006621.1	AP006621.1
APOBEC1	APOBEC1
ARL2BPP1	ARL2BPP1
ARL6IP1P1	ARL6IP1P1
ARSI	ARSI
ASAP3	ASAP3
ASIC1	ASIC1
ASZ1	ASZ1
ATP1A2	ATP1A2
ATP6V0E1P1	ATP6V0E1P1
BAIAP2L2	BAIAP2L2
BCDIN3D-AS1	BCDIN3D-AS1
BMPER	BMPER
BPIFB9P	BPIFB9P
BSN	BSN
C12orf54	C12orf54
C12orf77	C12orf77
C14orf164	C14orf164
C15orf52	C15orf52
C16orf59	C16orf59
C16orf96	C16orf96
C1DP4	C1DP4
C1orf106	C1orf106
C21orf62	C21orf62
C21orf67	C21orf67
C2orf91	C2orf91
C3orf49	C3orf49
C6orf47-AS1	C6orf47-AS1
C7orf57	C7orf57
C8orf47	C8orf47
C9orf131	C9orf131
CACNA1F	CACNA1F
CALB2	CALB2
CATSPERD	CATSPERD
CCBE1	CCBE1
CCDC113	CCDC113
CCDC42	CCDC42
CCDC78	CCDC78
CCDC89	CCDC89
CDC25C	CDC25C
CDH12	CDH12
CDH15	CDH15
CDHR4	CDHR4
CENPI	CENPI
CHAC1	CHAC1
CHCHD2P3	CHCHD2P3
CHRM2	CHRM2
CHRNA1	CHRNA1
CHRNB2	CHRNB2
CLGN	CLGN
CLMP	CLMP
CNIH2	CNIH2
CNTN4	CNTN4
CNTN6	CNTN6
COL16A1	COL16A1
COL22A1	COL22A1
COL4A5	COL4A5
COX7A1	COX7A1
CPLX1	CPLX1
CPNE7	CPNE7
CPT1B	CPT1B
CRLF1	CRLF1
CRYBB1	CRYBB1
CST6	CST6
CTA-256D12.11	CTA-256D12.11
CTB-127C13.1	CTB-127C13.1
CTB-134F13.1	CTB-134F13.1
CTB-14A14.2	CTB-14A14.2
CTB-23I7.3	CTB-23I7.3
CTB-31N19.4	CTB-31N19.4
CTB-31O20.3	CTB-31O20.3
CTB-49A3.5	CTB-49A3.5
CTC-453G23.5	CTC-453G23.5
CTC-535M15.1	CTC-535M15.1
CTD-2006H14.2	CTD-2006H14.2
CTD-2033A16.1	CTD-2033A16.1
CTD-2050N2.1	CTD-2050N2.1
CTD-2113L7.1	CTD-2113L7.1
CTD-2124B8.2	CTD-2124B8.2
CTD-2194F12.1	CTD-2194F12.1
CTD-2201E18.2	CTD-2201E18.2
CTD-2210P24.4	CTD-2210P24.4
CTD-2230M5.1	CTD-2230M5.1
CTD-2236F14.1	CTD-2236F14.1
CTD-2265O21.7	CTD-2265O21.7
CTD-2288O8.1	CTD-2288O8.1
CTD-2343P13.1	CTD-2343P13.1
CTD-2357A8.3	CTD-2357A8.3
CTD-2376I20.1	CTD-2376I20.1
CTD-2377D24.6	CTD-2377D24.6
CTD-2540B15.9	CTD-2540B15.9
CTD-2540F13.2	CTD-2540F13.2
CTD-2542C24.2	CTD-2542C24.2
CTD-2555O16.3	CTD-2555O16.3
CTD-2560C21.1	CTD-2560C21.1
CTD-2562G15.2	CTD-2562G15.2
CTD-2576D5.3	CTD-2576D5.3
CTD-2596O15.1	CTD-2596O15.1
CTD-2619J13.17	CTD-2619J13.17
CTD-2619J13.9	CTD-2619J13.9
CTD-2623N2.3	CTD-2623N2.3
CTD-2651B20.4	CTD-2651B20.4
CTD-3001H11.1	CTD-3001H11.1
CTD-3030D20.1	CTD-3030D20.1
CTD-3065B20.2	CTD-3065B20.2
CTD-3076O17.1	CTD-3076O17.1
CTD-3137H5.1	CTD-3137H5.1
CTD-3138B18.6	CTD-3138B18.6
CTF2P	CTF2P
CXADRP3	CXADRP3
CXXC11	CXXC11
CYCSP34	CYCSP34
CYCSP39	CYCSP39
CYCSP46	CYCSP46
CYLC2	CYLC2
DACT3	DACT3
DCAF8L1	DCAF8L1
DCDC2	DCDC2
DCST1	DCST1
DIAPH2-AS1	DIAPH2-AS1
DKFZP434O1614	DKFZP434O1614
DNAJC12	DNAJC12
DNAJC19P1	DNAJC19P1
DOK5	DOK5
DRD4	DRD4
DUTP1	DUTP1
DUTP7	DUTP7
DYRK3	DYRK3
EFCAB10	EFCAB10
EFNB2	EFNB2
EHD2	EHD2
EIF2S2P5	EIF2S2P5
EIF4A1P8	EIF4A1P8
EIF4A2P5	EIF4A2P5
ERBB4	ERBB4
ESPL1	ESPL1
ETNPPL	ETNPPL
FAM127C	FAM127C
FAM136BP	FAM136BP
FAM149A	FAM149A
FAM201B	FAM201B
FAM215A	FAM215A
FAM27E2	FAM27E2
FAM47E	FAM47E
FAM85A	FAM85A
FAM9B	FAM9B
FBXL2	FBXL2
FBXO39	FBXO39
FCF1P4	FCF1P4
FDPSP7	FDPSP7
FHOD3	FHOD3
FLRT2	FLRT2
FRMD6	FRMD6
FSTL5	FSTL5
FUT1	FUT1
FYTTD1P1	FYTTD1P1
GABARAPL3	GABARAPL3
GABRB2	GABRB2
GABRG1	GABRG1
GALNT18	GALNT18
GAS1	GAS1
GGTA2P	GGTA2P
GLP2R	GLP2R
GNL3LP1	GNL3LP1
GPR176	GPR176
GPR64	GPR64
GPRIN1	GPRIN1
GRIA2	GRIA2
GRIK5	GRIK5
GS1-114I9.1	GS1-114I9.1
HCG9	HCG9
HFM1	HFM1
HIGD1AP10	HIGD1AP10
HIGD1AP12	HIGD1AP12
HMGN1P30	HMGN1P30
HMGN1P6	HMGN1P6
HMGN1P8	HMGN1P8
HMGN2P20	HMGN2P20
HMGN2P9	HMGN2P9
HNRNPA1P24	HNRNPA1P24
HNRNPA1P49	HNRNPA1P49
HNRNPDLP4	HNRNPDLP4
HNRNPFP1	HNRNPFP1
HNRNPKP5	HNRNPKP5
HNRNPMP2	HNRNPMP2
HOXB9	HOXB9
HRASLS5	HRASLS5
HSD17B14	HSD17B14
HSPB1P1	HSPB1P1
HSPD1P14	HSPD1P14
HSPD1P8	HSPD1P8
HSPE1P8	HSPE1P8
IDH1-AS1	IDH1-AS1
IDI2	IDI2
IGHV1-45	IGHV1-45
IGHV1OR15-9	IGHV1OR15-9
IGLV3-13	IGLV3-13
IGSF1	IGSF1
IL17RD	IL17RD
IL21	IL21
IL21-AS1	IL21-AS1
IL26	IL26
IL5	IL5
IMPDH1P4	IMPDH1P4
INTU	INTU
ISCA1P6	ISCA1P6
KB-1183D5.9	KB-1183D5.9
KB-1247B1.1	KB-1247B1.1
KB-1582A10.2	KB-1582A10.2
KBTBD12	KBTBD12
KCNA7	KCNA7
KCND2	KCND2
KCNH1	KCNH1
KCNK1	KCNK1
KCNK10	KCNK10
KIF17	KIF17
KLHL6-AS1	KLHL6-AS1
KRT18P61	KRT18P61
KRT81	KRT81
LA16c-360H6.3	LA16c-360H6.3
LA16c-366D1.3	LA16c-366D1.3
LCN12	LCN12
LCT	LCT
LHFPL1	LHFPL1
LIF	LIF
LINC00323	LINC00323
LINC00478	LINC00478
LINC00702	LINC00702
LINC00933	LINC00933
LINC01088	LINC01088
LIPG	LIPG
LMCD1	LMCD1
LPHN2	LPHN2
LRRC26	LRRC26
LRRC37A14P	LRRC37A14P
LRRC37A9P	LRRC37A9P
LRRC49	LRRC49
LRRC4C	LRRC4C
LRRIQ1	LRRIQ1
LRRN2	LRRN2
LRRTM2	LRRTM2
LYPD6	LYPD6
MAB21L1	MAB21L1
MANSC4	MANSC4
MBL1P	MBL1P
MED28P3	MED28P3
METTL21AP1	METTL21AP1
MIR210HG	MIR210HG
MIR342	MIR342
MMP15	MMP15
MMP16	MMP16
MOBP	MOBP
MOCOS	MOCOS
MRC1	MRC1
MRPL22P1	MRPL22P1
MSTN	MSTN
MTND4P6	MTND4P6
MTND5P19	MTND5P19
MUC1	MUC1
MYCLP2	MYCLP2
MYH14	MYH14
MYH15	MYH15
MYO1A	MYO1A
MYO7A	MYO7A
MYOCD	MYOCD
MYRF	MYRF
NCMAP	NCMAP
NCOR1P1	NCOR1P1
NDUFA5P9	NDUFA5P9
NIM1K	NIM1K
NKAIN2	NKAIN2
NKPD1	NKPD1
NLGN3	NLGN3
NOS1	NOS1
NPM1P13	NPM1P13
NR5A2	NR5A2
NWD1	NWD1
NXN	NXN
ODF2-AS1	ODF2-AS1
OLFML3	OLFML3
OSTCP8	OSTCP8
OXCT1-AS1	OXCT1-AS1
OXER1	OXER1
PABPC1P5	PABPC1P5
PALM2	PALM2
PCAT7	PCAT7
PCDH19	PCDH19
PCDHA9	PCDHA9
PCDHGB2	PCDHGB2
PDPN	PDPN
PFN1P3	PFN1P3
PHACTR3	PHACTR3
PHBP1	PHBP1
PHBP4	PHBP4
PHLDA3	PHLDA3
PIH1D2	PIH1D2
PIP5K1P2	PIP5K1P2
PIWIL2	PIWIL2
PKHD1	PKHD1
PLCXD3	PLCXD3
PLEKHA6	PLEKHA6
PLEKHA7	PLEKHA7
PLEKHG4B	PLEKHG4B
PLGLB2	PLGLB2
PNPLA3	PNPLA3
POM121L10P	POM121L10P
POSTN	POSTN
POTEA	POTEA
POU5F1	POU5F1
PPIAP20	PPIAP20
PPIAP25	PPIAP25
PPIAP27	PPIAP27
PPIAP28	PPIAP28
PPP1R10P1	PPP1R10P1
PPP1R2P6	PPP1R2P6
PRDX2P2	PRDX2P2
PRRX1	PRRX1
PSAT1P4	PSAT1P4
PTCD2P1	PTCD2P1
PTH1R	PTH1R
PVRIG	PVRIG
RAB17	RAB17
RAI14	RAI14
RAMP2-AS1	RAMP2-AS1
RAPGEF5	RAPGEF5
RASL11B	RASL11B
RBPJP2	RBPJP2
RCC2P7	RCC2P7
REEP2	REEP2
RFPL2	RFPL2
RGMA	RGMA
RGN	RGN
RIOK3P1	RIOK3P1
RIPPLY1	RIPPLY1
RN7SKP237	RN7SKP237
RN7SL10P	RN7SL10P
RN7SL363P	RN7SL363P
RN7SL480P	RN7SL480P
RN7SL525P	RN7SL525P
RN7SL559P	RN7SL559P
RN7SL566P	RN7SL566P
RN7SL678P	RN7SL678P
RN7SL711P	RN7SL711P
RN7SL737P	RN7SL737P
RN7SL749P	RN7SL749P
RN7SL769P	RN7SL769P
RN7SL838P	RN7SL838P
RNA5SP439	RNA5SP439
RNA5SP74	RNA5SP74
RNF180	RNF180
RNMTL1P1	RNMTL1P1
RNU1-35P	RNU1-35P
RNU1-42P	RNU1-42P
RNU1-56P	RNU1-56P
RNU1-83P	RNU1-83P
RNU2-22P	RNU2-22P
RNU6-1	RNU6-1
RNU6-1040P	RNU6-1040P
RNU6-1046P	RNU6-1046P
RNU6-1140P	RNU6-1140P
RNU6-1183P	RNU6-1183P
RNU6-1279P	RNU6-1279P
RNU6-1292P	RNU6-1292P
RNU6-1312P	RNU6-1312P
RNU6-1323P	RNU6-1323P
RNU6-151P	RNU6-151P
RNU6-181P	RNU6-181P
RNU6-26P	RNU6-26P
RNU6-35P	RNU6-35P
RNU6-459P	RNU6-459P
RNU6-496P	RNU6-496P
RNU6-505P	RNU6-505P
RNU6-605P	RNU6-605P
RNU6-702P	RNU6-702P
RNU6-707P	RNU6-707P
RNU6-959P	RNU6-959P
RNU7-108P	RNU7-108P
RNY4P1	RNY4P1
ROR2	ROR2
RP1	RP1
RP1-102G20.5	RP1-102G20.5
RP1-107N3.1	RP1-107N3.1
RP1-122P22.2	RP1-122P22.2
RP1-161P9.5	RP1-161P9.5
RP1-21O18.3	RP1-21O18.3
RP1-224A6.9	RP1-224A6.9
RP1-265C24.5	RP1-265C24.5
RP1-266L20.4	RP1-266L20.4
RP1-272J12.1	RP1-272J12.1
RP1-49C23.1	RP1-49C23.1
RP1-64K7.4	RP1-64K7.4
RP11-1055B8.2	RP11-1055B8.2
RP11-1060J15.5	RP11-1060J15.5
RP11-1069G10.1	RP11-1069G10.1
RP11-1079J22.1	RP11-1079J22.1
RP11-107I14.4	RP11-107I14.4
RP11-1081L13.3	RP11-1081L13.3
RP11-1084J3.4	RP11-1084J3.4
RP11-10L12.1	RP11-10L12.1
RP11-110I1.5	RP11-110I1.5
RP11-111F16.2	RP11-111F16.2
RP11-114N19.3	RP11-114N19.3
RP11-115H15.2	RP11-115H15.2
RP11-118H4.3	RP11-118H4.3
RP11-1259L22.2	RP11-1259L22.2
RP11-12K11.1	RP11-12K11.1
RP11-131N11.4	RP11-131N11.4
RP11-132E11.3	RP11-132E11.3
RP11-134D3.1	RP11-134D3.1
RP11-139K4.4	RP11-139K4.4
RP11-140C5.3	RP11-140C5.3
RP11-141C7.3	RP11-141C7.3
RP11-142C4.4	RP11-142C4.4
RP11-142L1.3	RP11-142L1.3
RP11-143E21.1	RP11-143E21.1
RP11-145B3.2	RP11-145B3.2
RP11-148K1.12	RP11-148K1.12
RP11-157B13.7	RP11-157B13.7
RP11-159F24.5	RP11-159F24.5
RP11-166D19.1	RP11-166D19.1
RP11-166N17.3	RP11-166N17.3
RP11-166O4.4	RP11-166O4.4
RP11-16K12.1	RP11-16K12.1
RP11-16N2.1	RP11-16N2.1
RP11-170N16.3	RP11-170N16.3
RP11-171G2.1	RP11-171G2.1
RP11-172E10.1	RP11-172E10.1
RP11-176D17.3	RP11-176D17.3
RP11-188D8.1	RP11-188D8.1
RP11-188I24.1	RP11-188I24.1
RP11-190P13.2	RP11-190P13.2
RP11-196G18.1	RP11-196G18.1
RP11-196O16.1	RP11-196O16.1
RP11-203M5.6	RP11-203M5.6
RP11-214J9.1	RP11-214J9.1
RP11-218D6.3	RP11-218D6.3
RP11-219D15.3	RP11-219D15.3
RP11-227H15.4	RP11-227H15.4
RP11-22P6.3	RP11-22P6.3
RP11-243E13.1	RP11-243E13.1
RP11-255G21.1	RP11-255G21.1
RP11-256L11.3	RP11-256L11.3
RP11-264B14.1	RP11-264B14.1
RP11-267N12.2	RP11-267N12.2
RP11-269F21.3	RP11-269F21.3
RP11-269G24.8	RP11-269G24.8
RP11-26C10.1	RP11-26C10.1
RP11-272G22.2	RP11-272G22.2
RP11-274B18.3	RP11-274B18.3
RP11-281O15.5	RP11-281O15.5
RP11-281P23.1	RP11-281P23.1
RP11-288G3.4	RP11-288G3.4
RP11-294O2.2	RP11-294O2.2
RP11-296A18.3	RP11-296A18.3
RP11-297K7.1	RP11-297K7.1
RP11-298H24.1	RP11-298H24.1
RP11-302K17.3	RP11-302K17.3
RP11-303G3.6	RP11-303G3.6
RP11-304L19.8	RP11-304L19.8
RP11-307L14.1	RP11-307L14.1
RP11-308D16.1	RP11-308D16.1
RP11-309L24.9	RP11-309L24.9
RP11-30K9.5	RP11-30K9.5
RP11-312B18.1	RP11-312B18.1
RP11-313J2.1	RP11-313J2.1
RP11-317G22.2	RP11-317G22.2
RP11-317M22.1	RP11-317M22.1
RP11-324O2.3	RP11-324O2.3
RP11-328C8.4	RP11-328C8.4
RP11-32D17.4	RP11-32D17.4
RP11-331H2.3	RP11-331H2.3
RP11-336N8.1	RP11-336N8.1
RP11-33O4.1	RP11-33O4.1
RP11-342I1.2	RP11-342I1.2
RP11-344H11.5	RP11-344H11.5
RP11-34P13.7	RP11-34P13.7
RP11-351E7.2	RP11-351E7.2
RP11-363G2.4	RP11-363G2.4
RP11-366M4.11	RP11-366M4.11
RP11-375N9.2	RP11-375N9.2
RP11-377K22.3	RP11-377K22.3
RP11-379F12.3	RP11-379F12.3
RP11-379F4.4	RP11-379F4.4
RP11-382A20.1	RP11-382A20.1
RP11-382A20.7	RP11-382A20.7
RP11-388P9.2	RP11-388P9.2
RP11-393K19.1	RP11-393K19.1
RP11-396C23.4	RP11-396C23.4
RP11-397J20.1	RP11-397J20.1
RP11-3B12.4	RP11-3B12.4
RP11-400K9.2	RP11-400K9.2
RP11-405F3.2	RP11-405F3.2
RP11-405O10.2	RP11-405O10.2
RP11-409K20.6	RP11-409K20.6
RP11-411G7.2	RP11-411G7.2
RP11-416A14.1	RP11-416A14.1
RP11-419M24.1	RP11-419M24.1
RP11-420K14.3	RP11-420K14.3
RP11-423H2.3	RP11-423H2.3
RP11-425D10.1	RP11-425D10.1
RP11-428J1.5	RP11-428J1.5
RP11-430H12.2	RP11-430H12.2
RP11-431K24.1	RP11-431K24.1
RP11-433P17.1	RP11-433P17.1
RP11-436I24.1	RP11-436I24.1
RP11-439E19.7	RP11-439E19.7
RP11-445L13--B.3	RP11-445L13--B.3
RP11-453D16.2	RP11-453D16.2
RP11-454F8.2	RP11-454F8.2
RP11-455B2.9	RP11-455B2.9
RP11-456J20.1	RP11-456J20.1
RP11-459D20.1	RP11-459D20.1
RP11-45M22.3	RP11-45M22.3
RP11-463J10.2	RP11-463J10.2
RP11-464D20.6	RP11-464D20.6
RP11-464F9.21	RP11-464F9.21
RP11-472F14.4	RP11-472F14.4
RP11-473O4.4	RP11-473O4.4
RP11-474J18.1	RP11-474J18.1
RP11-474L11.3	RP11-474L11.3
RP11-474P2.2	RP11-474P2.2
RP11-476M19.1	RP11-476M19.1
RP11-47G4.1	RP11-47G4.1
RP11-489E7.1	RP11-489E7.1
RP11-49C24.1	RP11-49C24.1
RP11-503C24.3	RP11-503C24.3
RP11-506B6.5	RP11-506B6.5
RP11-506H20.1	RP11-506H20.1
RP11-50I19.1	RP11-50I19.1
RP11-510M2.2	RP11-510M2.2
RP11-517B11.2	RP11-517B11.2
RP11-517H2.6	RP11-517H2.6
RP11-51I5.1	RP11-51I5.1
RP11-524O1.4	RP11-524O1.4
RP11-526F3.1	RP11-526F3.1
RP11-528I4.2	RP11-528I4.2
RP11-52A20.2	RP11-52A20.2
RP11-531A24.5	RP11-531A24.5
RP11-531F16.4	RP11-531F16.4
RP11-545M17.3	RP11-545M17.3
RP11-54I5.1	RP11-54I5.1
RP11-54O7.2	RP11-54O7.2
RP11-552D4.1	RP11-552D4.1
RP11-556N4.1	RP11-556N4.1
RP11-557B23.3	RP11-557B23.3
