sample_id	run	format	lane	lib_type	sample_index
OCRZ033-A	240517_NB501183_1226_AHCNFFBGXW	BCL	*	ADT	RPI1
OCRZ033-B	240517_NB501183_1226_AHCNFFBGXW	BCL	*	ADT	RPI2
OCRZ033-C	240517_NB501183_1226_AHCNFFBGXW	BCL	*	ADT	RPI3
OCRZ043-D	240517_NB502048_0890_AHHJNVBGXW	BCL	*	ADT	RPI4
OCRZ043-E	240517_NB502048_0890_AHHJNVBGXW	BCL	*	ADT	RPI5
OCRZ043-F	240517_NB502048_0890_AHHJNVBGXW	BCL	*	ADT	RPI6
OCRZ020-A	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI1
OCRZ020-B	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI2
OCRZ020-C	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI3
OCRZ050-D	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI4
OCRZ050-E	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI5
OCRZ050-F	240520_NB502048_0891_AHHN3FBGXW	BCL	*	ADT	RPI6
OCRZ020-A	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI1
OCRZ020-B	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI2
OCRZ020-C	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI3
OCRZ043-D	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI4
OCRZ043-E	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI5
OCRZ043-F	240605_NB501183_1232_AHHKNLBGXW	BCL	*	ADT	RPI6
OCRZ020-A	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	RPI1
OCRZ043-D	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	RPI4
OCRZ043-E	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	RPI5
OCRZ045-A	241212_LH00235_0363_B22JJHCLT4	BCL	7	ADT	RPI1
OCRZ045-B	241212_LH00235_0363_B22JJHCLT4	BCL	7	ADT	RPI2
OCRZ045-C	241212_LH00235_0363_B22JJHCLT4	BCL	7	ADT	RPI3
OCRZ020-A	231027_NB501183_1178_AH2VM3BGXV	BCL	*	HTO	D701
OCRZ020-B	231027_NB501183_1178_AH2VM3BGXV	BCL	*	HTO	D702
OCRZ020-C	231027_NB501183_1178_AH2VM3BGXV	BCL	*	HTO	D703
OCRZ020-D	231027_NB501183_1178_AH2VM3BGXV	BCL	*	HTO	D704
OCRZ020-E	231027_NB501183_1178_AH2VM3BGXV	BCL	*	HTO	D705
OCRZ004-A	231218_NB501183_1195_AHWTKHBGXT	BCL	*	HTO	D706
OCRZ004-B	231218_NB501183_1195_AHWTKHBGXT	BCL	*	HTO	D707
OCRZ004-C	231218_NB501183_1195_AHWTKHBGXT	BCL	*	HTO	D708
OCRZ050-D	240410_NB501183_1219_AHMNWHBGXV	BCL	*	HTO	D704
OCRZ050-E	240410_NB501183_1219_AHMNWHBGXV	BCL	*	HTO	D705
OCRZ050-F	240410_NB501183_1219_AHMNWHBGXV	BCL	*	HTO	D706
OCRZ003-A	240502_NB502048_0885_AHKF5KBGXV	BCL	*	HTO	D701
OCRZ003-B	240502_NB502048_0885_AHKF5KBGXV	BCL	*	HTO	D702
OCRZ003-C	240502_NB502048_0885_AHKF5KBGXV	BCL	*	HTO	D703
OCRZ045-A	240510_NB502048_0888_AHNWH5BGXV	BCL	*	HTO	D701
OCRZ045-B	240510_NB502048_0888_AHNWH5BGXV	BCL	*	HTO	D702
OCRZ045-C	240510_NB502048_0888_AHNWH5BGXV	BCL	*	HTO	D703
OCRZ031-D	240510_NB501183_1224_AHCV2CBGXW	BCL	*	HTO	D704
OCRZ031-E	240510_NB501183_1224_AHCV2CBGXW	BCL	*	HTO	D705
OCRZ031-F	240510_NB501183_1224_AHCV2CBGXW	BCL	*	HTO	D706
OCRZ004-A	240516_NB501183_1225_AHCMV2BGXW	BCL	*	HTO	D706
OCRZ004-B	240516_NB501183_1225_AHCMV2BGXW	BCL	*	HTO	D707
OCRZ004-C	240516_NB501183_1225_AHCMV2BGXW	BCL	*	HTO	D708
OCRZ033-A	240517_NB501183_1226_AHCNFFBGXW	BCL	*	HTO	D701
OCRZ033-B	240517_NB501183_1226_AHCNFFBGXW	BCL	*	HTO	D702
OCRZ033-C	240517_NB501183_1226_AHCNFFBGXW	BCL	*	HTO	D703
OCRZ043-D	240517_NB502048_0890_AHHJNVBGXW	BCL	*	HTO	D704
OCRZ043-E	240517_NB502048_0890_AHHJNVBGXW	BCL	*	HTO	D705
OCRZ043-F	240517_NB502048_0890_AHHJNVBGXW	BCL	*	HTO	D706
OCRZ020-A	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D701
OCRZ020-B	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D702
OCRZ020-C	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D703
OCRZ050-D	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D704
OCRZ050-E	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D705
OCRZ050-F	240520_NB502048_0891_AHHN3FBGXW	BCL	*	HTO	D706
OCRZ020-A	241212_LH00235_0363_B22JJHCLT4	BCL	6	HTO	D701
