	gene_symbol
AC003044.1	AC003044.1
AC003070.2	AC003070.2
AC003077.1	AC003077.1
AC003084.1	AC003084.1
AC003086.1	AC003086.1
AC003087.1	AC003087.1
AC003092.1	AC003092.1
AC003092.2	AC003092.2
AC003093.1	AC003093.1
AC003101.1	AC003101.1
AC003101.2	AC003101.2
AC003102.1	AC003102.1
AC003659.1	AC003659.1
AC003666.1	AC003666.1
AC003681.1	AC003681.1
AC003682.1	AC003682.1
AC003684.1	AC003684.1
AC003687.1	AC003687.1
AC003688.1	AC003688.1
AC003950.1	AC003950.1
AC003956.1	AC003956.1
AC003958.2	AC003958.2
AC003965.1	AC003965.1
AC003965.2	AC003965.2
AC003973.1	AC003973.1
AC003973.2	AC003973.2
AC003975.1	AC003975.1
AC003982.1	AC003982.1
AC003984.1	AC003984.1
AC003985.1	AC003985.1
AC003986.1	AC003986.1
AC003986.2	AC003986.2
AC003986.3	AC003986.3
AC003988.1	AC003988.1
AC003991.1	AC003991.1
AC003991.2	AC003991.2
AC003992.1	AC003992.1
AC004000.1	AC004000.1
AC004009.1	AC004009.1
AC004012.1	AC004012.1
AC004014.1	AC004014.1
AC004023.1	AC004023.1
AC004034.1	AC004034.1
AC004039.1	AC004039.1
AC004047.1	AC004047.1
AC004052.1	AC004052.1
AC004053.1	AC004053.1
AC004054.1	AC004054.1
AC004066.2	AC004066.2
AC004067.1	AC004067.1
AC004069.1	AC004069.1
AC004076.1	AC004076.1
AC004076.2	AC004076.2
AC004080.2	AC004080.2
AC004083.1	AC004083.1
AC004112.1	AC004112.1
AC004130.1	AC004130.1
AC004130.2	AC004130.2
AC004147.1	AC004147.1
AC004147.2	AC004147.2
AC004147.3	AC004147.3
AC004147.5	AC004147.5
AC004148.1	AC004148.1
AC004148.2	AC004148.2
AC004149.1	AC004149.1
AC004156.1	AC004156.1
AC004158.1	AC004158.1
AC004160.1	AC004160.1
AC004160.2	AC004160.2
AC004217.1	AC004217.1
AC004221.1	AC004221.1
AC004223.2	AC004223.2
AC004223.3	AC004223.3
AC004223.4	AC004223.4
AC004231.1	AC004231.1
AC004231.3	AC004231.3
AC004232.1	AC004232.1
AC004232.2	AC004232.2
AC004233.1	AC004233.1
AC004233.2	AC004233.2
AC004233.3	AC004233.3
AC004233.4	AC004233.4
AC004241.1	AC004241.1
AC004241.2	AC004241.2
AC004241.3	AC004241.3
AC004241.4	AC004241.4
AC004253.1	AC004253.1
AC004257.1	AC004257.1
AC004263.1	AC004263.1
AC004263.2	AC004263.2
AC004264.1	AC004264.1
AC004381.1	AC004381.1
AC004408.1	AC004408.1
AC004415.1	AC004415.1
AC004448.1	AC004448.1
AC004448.2	AC004448.2
AC004448.3	AC004448.3
AC004448.5	AC004448.5
AC004449.1	AC004449.1
AC004461.2	AC004461.2
AC004464.1	AC004464.1
AC004466.1	AC004466.1
AC004466.2	AC004466.2
AC004466.3	AC004466.3
AC004470.1	AC004470.1
AC004471.1	AC004471.1
AC004471.2	AC004471.2
AC004477.1	AC004477.1
AC004477.2	AC004477.2
AC004477.3	AC004477.3
AC004485.1	AC004485.1
AC004490.1	AC004490.1
AC004492.1	AC004492.1
AC004494.1	AC004494.1
AC004520.1	AC004520.1
AC004522.2	AC004522.2
AC004522.3	AC004522.3
AC004522.4	AC004522.4
AC004522.5	AC004522.5
AC004528.1	AC004528.1
AC004528.2	AC004528.2
AC004540.1	AC004540.1
AC004540.2	AC004540.2
AC004542.1	AC004542.1
AC004542.2	AC004542.2
AC004543.1	AC004543.1
AC004549.1	AC004549.1
AC004551.1	AC004551.1
AC004554.2	AC004554.2
AC004556.1	AC004556.1
AC004556.3	AC004556.3
AC004584.1	AC004584.1
AC004584.3	AC004584.3
AC004585.1	AC004585.1
AC004590.1	AC004590.1
AC004593.1	AC004593.1
AC004593.2	AC004593.2
AC004593.3	AC004593.3
AC004594.1	AC004594.1
AC004596.1	AC004596.1
AC004597.1	AC004597.1
AC004637.1	AC004637.1
AC004672.1	AC004672.1
AC004672.2	AC004672.2
AC004674.1	AC004674.1
AC004687.1	AC004687.1
AC004687.3	AC004687.3
AC004690.2	AC004690.2
AC004691.1	AC004691.1
AC004691.2	AC004691.2
AC004692.2	AC004692.2
AC004702.1	AC004702.1
AC004704.1	AC004704.1
AC004706.1	AC004706.1
AC004706.3	AC004706.3
AC004707.1	AC004707.1
AC004765.1	AC004765.1
AC004771.1	AC004771.1
AC004771.2	AC004771.2
AC004771.3	AC004771.3
AC004771.4	AC004771.4
AC004771.5	AC004771.5
AC004775.1	AC004775.1
AC004784.1	AC004784.1
AC004797.1	AC004797.1
AC004801.3	AC004801.3
AC004801.4	AC004801.4
AC004801.6	AC004801.6
AC004803.1	AC004803.1
AC004805.1	AC004805.1
AC004812.2	AC004812.2
AC004816.1	AC004816.1
AC004816.2	AC004816.2
AC004817.1	AC004817.1
AC004817.2	AC004817.2
AC004817.3	AC004817.3
AC004817.4	AC004817.4
AC004817.5	AC004817.5
AC004824.1	AC004824.1
AC004825.2	AC004825.2
AC004825.3	AC004825.3
AC004828.1	AC004828.1
AC004828.2	AC004828.2
AC004830.1	AC004830.1
AC004830.2	AC004830.2
AC004832.1	AC004832.1
AC004832.3	AC004832.3
AC004832.4	AC004832.4
AC004832.5	AC004832.5
AC004832.6	AC004832.6
AC004834.1	AC004834.1
AC004835.1	AC004835.1
AC004837.2	AC004837.2
AC004837.4	AC004837.4
AC004839.1	AC004839.1
AC004839.2	AC004839.2
AC004846.1	AC004846.1
AC004846.2	AC004846.2
AC004847.1	AC004847.1
AC004852.2	AC004852.2
AC004854.2	AC004854.2
AC004862.1	AC004862.1
AC004865.2	AC004865.2
AC004869.1	AC004869.1
AC004870.2	AC004870.2
AC004870.3	AC004870.3
AC004870.4	AC004870.4
AC004875.1	AC004875.1
AC004877.1	AC004877.1
AC004879.1	AC004879.1
AC004882.1	AC004882.1
AC004882.3	AC004882.3
AC004884.2	AC004884.2
AC004888.1	AC004888.1
AC004889.1	AC004889.1
AC004893.3	AC004893.3
AC004895.1	AC004895.1
AC004900.1	AC004900.1
AC004906.1	AC004906.1
AC004908.1	AC004908.1
AC004908.2	AC004908.2
AC004908.3	AC004908.3
AC004917.1	AC004917.1
AC004918.1	AC004918.1
AC004918.4	AC004918.4
AC004921.1	AC004921.1
AC004921.2	AC004921.2
AC004922.1	AC004922.1
AC004923.4	AC004923.4
AC004930.1	AC004930.1
AC004936.1	AC004936.1
AC004938.2	AC004938.2
AC004941.1	AC004941.1
AC004943.1	AC004943.1
AC004943.2	AC004943.2
AC004943.3	AC004943.3
AC004946.1	AC004946.1
AC004946.2	AC004946.2
AC004947.1	AC004947.1
AC004947.3	AC004947.3
AC004948.1	AC004948.1
AC004949.1	AC004949.1
AC004951.1	AC004951.1
AC004969.1	AC004969.1
AC004973.1	AC004973.1
AC004974.1	AC004974.1
AC004982.1	AC004982.1
AC004982.2	AC004982.2
AC004988.1	AC004988.1
AC004990.1	AC004990.1
AC004994.1	AC004994.1
AC004997.1	AC004997.1
AC005005.3	AC005005.3
AC005005.4	AC005005.4
AC005006.1	AC005006.1
