	gene_symbol
AC027702.1	AC027702.1
AC027763.2	AC027763.2
AC027779.1	AC027779.1
AC027796.1	AC027796.1
AC027796.4	AC027796.4
AC027796.5	AC027796.5
AC027801.1	AC027801.1
AC027801.3	AC027801.3
AC027801.4	AC027801.4
AC027804.1	AC027804.1
AC027807.2	AC027807.2
AC027808.1	AC027808.1
AC027808.2	AC027808.2
AC027811.1	AC027811.1
AC032011.1	AC032011.1
AC032019.1	AC032019.1
AC032044.1	AC032044.1
AC034102.2	AC034102.2
AC034102.3	AC034102.3
AC034102.4	AC034102.4
AC034102.5	AC034102.5
AC034102.6	AC034102.6
AC034102.7	AC034102.7
AC034102.8	AC034102.8
AC034110.1	AC034110.1
AC034111.1	AC034111.1
AC034111.2	AC034111.2
AC034114.2	AC034114.2
AC034139.1	AC034139.1
AC034154.1	AC034154.1
AC034159.2	AC034159.2
AC034187.1	AC034187.1
AC034193.1	AC034193.1
AC034195.1	AC034195.1
AC034198.2	AC034198.2
AC034199.1	AC034199.1
AC034206.1	AC034206.1
AC034213.1	AC034213.1
AC034222.2	AC034222.2
AC034223.1	AC034223.1
AC034226.1	AC034226.1
AC034228.1	AC034228.1
AC034228.2	AC034228.2
AC034228.3	AC034228.3
AC034229.1	AC034229.1
AC034229.2	AC034229.2
AC034229.4	AC034229.4
AC034231.1	AC034231.1
AC034232.2	AC034232.2
AC034234.1	AC034234.1
AC034236.2	AC034236.2
AC034236.3	AC034236.3
AC034238.1	AC034238.1
AC034243.1	AC034243.1
AC034245.1	AC034245.1
AC034268.2	AC034268.2
AC035139.2	AC035139.2
AC035140.1	AC035140.1
AC036101.1	AC036101.1
AC036103.1	AC036103.1
AC036108.1	AC036108.1
AC036108.2	AC036108.2
AC036108.3	AC036108.3
AC036108.4	AC036108.4
AC036176.1	AC036176.1
AC036214.1	AC036214.1
AC036214.2	AC036214.2
AC036214.3	AC036214.3
AC036214.4	AC036214.4
AC036222.1	AC036222.1
AC037193.1	AC037193.1
AC037198.1	AC037198.1
AC037433.1	AC037433.1
AC037441.1	AC037441.1
AC037441.2	AC037441.2
AC037450.1	AC037450.1
AC037459.1	AC037459.1
AC037459.2	AC037459.2
AC037459.3	AC037459.3
AC037459.4	AC037459.4
AC037486.1	AC037486.1
AC037487.1	AC037487.1
AC037487.2	AC037487.2
AC039056.2	AC039056.2
AC040162.1	AC040162.1
AC040162.3	AC040162.3
AC040168.1	AC040168.1
AC040169.1	AC040169.1
AC040169.3	AC040169.3
AC040173.1	AC040173.1
AC040174.1	AC040174.1
AC040174.2	AC040174.2
AC040896.1	AC040896.1
AC040904.1	AC040904.1
AC040914.1	AC040914.1
AC040918.1	AC040918.1
AC040934.1	AC040934.1
AC040936.1	AC040936.1
AC040963.1	AC040963.1
AC040970.1	AC040970.1
AC040977.1	AC040977.1
AC040977.2	AC040977.2
AC041005.1	AC041005.1
AC044781.1	AC044781.1
AC044784.2	AC044784.2
AC044798.3	AC044798.3
AC044802.1	AC044802.1
AC044802.2	AC044802.2
AC044810.2	AC044810.2
AC044810.3	AC044810.3
AC044839.1	AC044839.1
AC044839.3	AC044839.3
AC044839.5	AC044839.5
AC044840.1	AC044840.1
AC044849.1	AC044849.1
AC044893.1	AC044893.1
AC044893.2	AC044893.2
AC046129.1	AC046129.1
AC046130.1	AC046130.1
AC046130.2	AC046130.2
AC046134.2	AC046134.2
AC046136.1	AC046136.1
AC046143.1	AC046143.1
AC046143.2	AC046143.2
AC046158.1	AC046158.1
AC046158.2	AC046158.2
AC046168.1	AC046168.1
AC046168.2	AC046168.2
AC046185.1	AC046185.1
AC046195.1	AC046195.1
AC046195.2	AC046195.2
AC048337.1	AC048337.1
AC048338.1	AC048338.1
AC048338.2	AC048338.2
AC048341.1	AC048341.1
AC048341.2	AC048341.2
AC048344.1	AC048344.1
AC048344.4	AC048344.4
AC048352.1	AC048352.1
AC048380.1	AC048380.1
AC048382.1	AC048382.1
AC048382.5	AC048382.5
AC048382.6	AC048382.6
AC048383.1	AC048383.1
AC051619.11	AC051619.11
AC051619.4	AC051619.4
AC051619.5	AC051619.5
AC051619.6	AC051619.6
AC051619.7	AC051619.7
AC051619.8	AC051619.8
AC053503.1	AC053503.1
AC053503.2	AC053503.2
AC053503.4	AC053503.4
AC053503.5	AC053503.5
AC053513.1	AC053513.1
AC053513.2	AC053513.2
AC053527.1	AC053527.1
AC053527.2	AC053527.2
AC053545.1	AC053545.1
AC055713.1	AC055713.1
AC055714.1	AC055714.1
AC055717.1	AC055717.1
AC055717.2	AC055717.2
AC055720.1	AC055720.1
AC055733.2	AC055733.2
AC055736.1	AC055736.1
AC055758.1	AC055758.1
AC055758.2	AC055758.2
AC055764.1	AC055764.1
AC055764.2	AC055764.2
AC055788.1	AC055788.1
AC055788.2	AC055788.2
AC055807.1	AC055807.1
AC055811.1	AC055811.1
AC055811.2	AC055811.2
AC055811.3	AC055811.3
AC055822.1	AC055822.1
AC055839.2	AC055839.2
AC055840.1	AC055840.1
AC055854.1	AC055854.1
AC055855.1	AC055855.1
AC055855.2	AC055855.2
AC055874.1	AC055874.1
AC055878.1	AC055878.1
AC058791.1	AC058791.1
AC058822.1	AC058822.1
AC060234.1	AC060234.1
AC060234.2	AC060234.2
AC060234.3	AC060234.3
AC060765.1	AC060765.1
AC060765.2	AC060765.2
AC060766.4	AC060766.4
AC060766.6	AC060766.6
AC060780.1	AC060780.1
AC060809.1	AC060809.1
AC060814.3	AC060814.3
AC060814.5	AC060814.5
AC060834.2	AC060834.2
AC061708.1	AC061708.1
AC061709.1	AC061709.1
AC061958.1	AC061958.1
AC061961.1	AC061961.1
AC061975.1	AC061975.1
AC061975.4	AC061975.4
AC061975.7	AC061975.7
AC061975.8	AC061975.8
AC061979.1	AC061979.1
AC061992.1	AC061992.1
AC061992.2	AC061992.2
AC062004.1	AC062004.1
AC062015.1	AC062015.1
AC062017.1	AC062017.1
AC062021.1	AC062021.1
AC062022.2	AC062022.2
AC062028.1	AC062028.1
AC062029.1	AC062029.1
AC062031.1	AC062031.1
AC062032.1	AC062032.1
AC062037.2	AC062037.2
AC062037.3	AC062037.3
AC062039.1	AC062039.1
AC063919.1	AC063919.1
AC063919.2	AC063919.2
AC063926.1	AC063926.1
AC063938.1	AC063938.1
AC063943.1	AC063943.1
AC063944.1	AC063944.1
AC063944.3	AC063944.3
AC063947.1	AC063947.1
AC063948.1	AC063948.1
AC063949.2	AC063949.2
AC063952.4	AC063952.4
AC063960.2	AC063960.2
AC063962.1	AC063962.1
AC063965.2	AC063965.2
AC063976.1	AC063976.1
AC063977.3	AC063977.3
AC063977.6	AC063977.6
AC063979.2	AC063979.2
AC063980.1	AC063980.1
AC064799.2	AC064799.2
AC064801.1	AC064801.1
AC064802.1	AC064802.1
AC064805.1	AC064805.1
AC064805.2	AC064805.2
AC064807.1	AC064807.1
AC064807.2	AC064807.2
AC064807.3	AC064807.3
AC064807.4	AC064807.4
AC064829.1	AC064829.1
AC064834.1	AC064834.1
AC064836.2	AC064836.2
AC064836.3	AC064836.3
AC064836.4	AC064836.4
AC064843.1	AC064843.1
AC064852.1	AC064852.1
AC064853.1	AC064853.1
AC064871.1	AC064871.1
AC064871.2	AC064871.2
AC064874.1	AC064874.1
AC064875.1	AC064875.1
AC066580.1	AC066580.1
AC066585.1	AC066585.1
AC066595.1	AC066595.1
AC066595.2	AC066595.2
AC066612.1	AC066612.1
AC066612.2	AC066612.2
AC066613.1	AC066613.1
AC066613.2	AC066613.2
AC066614.1	AC066614.1
AC067735.1	AC067735.1
AC067747.1	AC067747.1
AC067750.1	AC067750.1
AC067751.1	AC067751.1
AC067752.1	AC067752.1
AC067773.1	AC067773.1
AC067817.1	AC067817.1
AC067817.2	AC067817.2
AC067838.1	AC067838.1
AC067852.2	AC067852.2
AC067852.3	AC067852.3
AC067852.5	AC067852.5
AC067863.1	AC067863.1
AC067930.1	AC067930.1
AC067930.2	AC067930.2
AC067930.3	AC067930.3
AC067930.4	AC067930.4
AC067930.5	AC067930.5
AC067930.8	AC067930.8
AC067945.3	AC067945.3
AC067945.4	AC067945.4
AC067956.1	AC067956.1
AC067960.1	AC067960.1
AC067968.1	AC067968.1
AC067968.2	AC067968.2
AC067969.1	AC067969.1
AC067969.2	AC067969.2
AC068025.1	AC068025.1
AC068025.2	AC068025.2
AC068051.1	AC068051.1
AC068057.1	AC068057.1
AC068075.1	AC068075.1
AC068112.1	AC068112.1
AC068189.1	AC068189.1
AC068189.2	AC068189.2
AC068193.1	AC068193.1
AC068196.1	AC068196.1
AC068205.1	AC068205.1
AC068205.2	AC068205.2
AC068228.3	AC068228.3
AC068234.1	AC068234.1
AC068234.2	AC068234.2
AC068234.3	AC068234.3
AC068254.1	AC068254.1
AC068279.2	AC068279.2
AC068282.1	AC068282.1
AC068282.2	AC068282.2
AC068286.1	AC068286.1
AC068286.2	AC068286.2
AC068295.1	AC068295.1
AC068305.2	AC068305.2
AC068308.1	AC068308.1
AC068313.1	AC068313.1
AC068338.2	AC068338.2
AC068338.3	AC068338.3
AC068385.1	AC068385.1
AC068389.1	AC068389.1
AC068389.2	AC068389.2
AC068389.3	AC068389.3
AC068389.4	AC068389.4
AC068397.1	AC068397.1
AC068397.2	AC068397.2
AC068408.1	AC068408.1
AC068408.2	AC068408.2
AC068413.1	AC068413.1
AC068418.1	AC068418.1
AC068418.2	AC068418.2
AC068418.3	AC068418.3
AC068442.1	AC068442.1
AC068446.2	AC068446.2
AC068473.1	AC068473.1
AC068473.3	AC068473.3
AC068473.4	AC068473.4
AC068473.5	AC068473.5
AC068481.1	AC068481.1
AC068483.1	AC068483.1
AC068489.1	AC068489.1
AC068491.2	AC068491.2
AC068491.3	AC068491.3
AC068492.1	AC068492.1
AC068506.1	AC068506.1
AC068512.1	AC068512.1
AC068533.3	AC068533.3
AC068533.4	AC068533.4
AC068535.1	AC068535.1
AC068547.1	AC068547.1
AC068580.1	AC068580.1
AC068580.3	AC068580.3
AC068580.4	AC068580.4
AC068587.4	AC068587.4
AC068594.1	AC068594.1
AC068599.1	AC068599.1
AC068616.1	AC068616.1
AC068616.2	AC068616.2
AC068616.3	AC068616.3
AC068620.1	AC068620.1
AC068620.2	AC068620.2
AC068631.1	AC068631.1
AC068631.2	AC068631.2
AC068633.1	AC068633.1
AC068643.1	AC068643.1
AC068643.2	AC068643.2
AC068658.1	AC068658.1
AC068672.2	AC068672.2
AC068675.1	AC068675.1
AC068700.1	AC068700.1
AC068700.2	AC068700.2
AC068707.1	AC068707.1
AC068722.1	AC068722.1
AC068722.2	AC068722.2
AC068724.1	AC068724.1
AC068724.3	AC068724.3
AC068725.1	AC068725.1
AC068726.1	AC068726.1
AC068733.1	AC068733.1
AC068733.3	AC068733.3
AC068756.1	AC068756.1
AC068759.1	AC068759.1
AC068768.1	AC068768.1
AC068768.2	AC068768.2
AC068774.1	AC068774.1
AC068775.1	AC068775.1
AC068787.2	AC068787.2
AC068787.3	AC068787.3
AC068787.4	AC068787.4
AC068787.5	AC068787.5
AC068789.1	AC068789.1
AC068790.2	AC068790.2
AC068790.3	AC068790.3
AC068790.4	AC068790.4
AC068790.5	AC068790.5
AC068790.6	AC068790.6
AC068790.7	AC068790.7
AC068790.9	AC068790.9
AC068792.1	AC068792.1
AC068831.1	AC068831.1
AC068831.4	AC068831.4
AC068831.6	AC068831.6
AC068831.7	AC068831.7
AC068858.1	AC068858.1
AC068870.1	AC068870.1
AC068870.2	AC068870.2
AC068875.1	AC068875.1
AC068880.3	AC068880.3
AC068888.1	AC068888.1
AC068888.2	AC068888.2
AC068896.1	AC068896.1
AC068898.1	AC068898.1
AC068898.2	AC068898.2
AC068931.1	AC068931.1
AC068944.1	AC068944.1
AC068946.1	AC068946.1
AC068946.3	AC068946.3
AC068985.1	AC068985.1
AC068987.1	AC068987.1
AC068987.2	AC068987.2
AC068987.3	AC068987.3
AC068987.5	AC068987.5
AC068989.1	AC068989.1
AC068992.1	AC068992.1
AC068993.2	AC068993.2
AC069023.1	AC069023.1
AC069029.1	AC069029.1
AC069061.2	AC069061.2
AC069079.1	AC069079.1
AC069113.2	AC069113.2
AC069114.1	AC069114.1
AC069120.1	AC069120.1
AC069133.1	AC069133.1
AC069148.1	AC069148.1
AC069155.1	AC069155.1
AC069185.1	AC069185.1
AC069200.1	AC069200.1
AC069209.1	AC069209.1
AC069209.2	AC069209.2
AC069213.1	AC069213.1
AC069214.1	AC069214.1
AC069222.1	AC069222.1
AC069224.1	AC069224.1
AC069228.1	AC069228.1
AC069234.1	AC069234.1
AC069234.2	AC069234.2
AC069234.3	AC069234.3
AC069234.4	AC069234.4
AC069234.5	AC069234.5
AC069235.1	AC069235.1
AC069243.1	AC069243.1
AC069257.1	AC069257.1
AC069257.3	AC069257.3
AC069272.1	AC069272.1
AC069277.1	AC069277.1
AC069280.2	AC069280.2
AC069281.1	AC069281.1
AC069285.1	AC069285.1
AC069285.2	AC069285.2
AC069287.1	AC069287.1
AC069287.2	AC069287.2
AC069287.3	AC069287.3
AC069294.1	AC069294.1
AC069307.1	AC069307.1
AC069360.1	AC069360.1
AC069366.2	AC069366.2
AC069368.1	AC069368.1
AC069368.2	AC069368.2
AC069410.1	AC069410.1
AC069421.3	AC069421.3
AC069431.1	AC069431.1
AC069437.1	AC069437.1
AC069439.2	AC069439.2
AC069444.1	AC069444.1
AC069503.1	AC069503.1
AC069503.4	AC069503.4
AC069540.2	AC069540.2
AC069542.1	AC069542.1
AC069544.1	AC069544.1
AC069547.2	AC069547.2
AC069549.1	AC069549.1
AC069549.2	AC069549.2
AC072022.1	AC072022.1
AC072022.2	AC072022.2
AC072026.2	AC072026.2
AC072026.3	AC072026.3
AC072028.1	AC072028.1
AC072039.2	AC072039.2
AC072054.1	AC072054.1
AC072061.1	AC072061.1
AC072062.1	AC072062.1
AC073023.1	AC073023.1
AC073046.1	AC073046.1
AC073046.3	AC073046.3
AC073046.4	AC073046.4
AC073048.1	AC073048.1
AC073050.1	AC073050.1
AC073052.2	AC073052.2
AC073062.1	AC073062.1
AC073071.1	AC073071.1
AC073072.1	AC073072.1
AC073073.2	AC073073.2
AC073082.1	AC073082.1
AC073091.3	AC073091.3
AC073091.4	AC073091.4
AC073094.1	AC073094.1
AC073111.1	AC073111.1
AC073111.3	AC073111.3
AC073111.4	AC073111.4
AC073111.5	AC073111.5
AC073114.1	AC073114.1
AC073115.1	AC073115.1
AC073115.2	AC073115.2
AC073127.1	AC073127.1
AC073130.1	AC073130.1
AC073130.2	AC073130.2
AC073133.1	AC073133.1
AC073133.2	AC073133.2
AC073140.1	AC073140.1
AC073140.2	AC073140.2
AC073167.1	AC073167.1
AC073172.1	AC073172.1
AC073172.2	AC073172.2
AC073176.2	AC073176.2
AC073176.3	AC073176.3
AC073188.2	AC073188.2
AC073195.1	AC073195.1
AC073210.3	AC073210.3
AC073218.1	AC073218.1
AC073218.2	AC073218.2
AC073225.1	AC073225.1
AC073236.1	AC073236.1
AC073254.1	AC073254.1
AC073257.1	AC073257.1
AC073257.2	AC073257.2
AC073263.1	AC073263.1
AC073263.2	AC073263.2
AC073270.1	AC073270.1
AC073270.2	AC073270.2
AC073283.1	AC073283.1
AC073283.2	AC073283.2
AC073283.3	AC073283.3
AC073284.1	AC073284.1
AC073288.1	AC073288.1
AC073288.2	AC073288.2
AC073311.1	AC073311.1
AC073314.1	AC073314.1
AC073316.1	AC073316.1
AC073316.3	AC073316.3
AC073320.1	AC073320.1
AC073321.1	AC073321.1
AC073323.1	AC073323.1
AC073325.1	AC073325.1
AC073326.1	AC073326.1
AC073332.1	AC073332.1
AC073333.1	AC073333.1
AC073335.2	AC073335.2
AC073336.1	AC073336.1
AC073342.1	AC073342.1
AC073342.2	AC073342.2
AC073343.2	AC073343.2
AC073346.1	AC073346.1
AC073348.2	AC073348.2
AC073349.1	AC073349.1
AC073349.4	AC073349.4
AC073349.5	AC073349.5
AC073352.1	AC073352.1
AC073352.2	AC073352.2
AC073359.2	AC073359.2
AC073365.1	AC073365.1
AC073367.1	AC073367.1
AC073389.1	AC073389.1
AC073389.2	AC073389.2
AC073389.3	AC073389.3
AC073429.2	AC073429.2
AC073475.1	AC073475.1
AC073476.3	AC073476.3
AC073486.1	AC073486.1
AC073487.1	AC073487.1
AC073508.2	AC073508.2
AC073508.3	AC073508.3
AC073517.1	AC073517.1
AC073521.1	AC073521.1
AC073525.1	AC073525.1
AC073529.1	AC073529.1
AC073530.1	AC073530.1
AC073534.2	AC073534.2
AC073539.1	AC073539.1
AC073539.3	AC073539.3
AC073548.2	AC073548.2
AC073569.1	AC073569.1
AC073569.2	AC073569.2
AC073569.3	AC073569.3
AC073571.1	AC073571.1
AC073573.1	AC073573.1
AC073575.1	AC073575.1
AC073575.2	AC073575.2
AC073578.1	AC073578.1
AC073578.2	AC073578.2
AC073591.1	AC073591.1
AC073592.1	AC073592.1
AC073593.2	AC073593.2
AC073610.3	AC073610.3
AC073611.1	AC073611.1
AC073612.1	AC073612.1
AC073626.1	AC073626.1
AC073636.1	AC073636.1
AC073641.1	AC073641.1
AC073648.7	AC073648.7
AC073651.1	AC073651.1
AC073655.1	AC073655.1
AC073655.2	AC073655.2
AC073655.3	AC073655.3
AC073657.1	AC073657.1
AC073834.1	AC073834.1
AC073840.1	AC073840.1
AC073842.1	AC073842.1
AC073842.2	AC073842.2
AC073848.1	AC073848.1
AC073862.1	AC073862.1
AC073863.1	AC073863.1
AC073864.1	AC073864.1
AC073869.3	AC073869.3
AC073869.5	AC073869.5
AC073878.1	AC073878.1
AC073878.2	AC073878.2
AC073896.1	AC073896.1
AC073896.2	AC073896.2
AC073896.3	AC073896.3
AC073896.4	AC073896.4
AC073896.5	AC073896.5
AC073911.1	AC073911.1
AC073912.1	AC073912.1
AC073912.2	AC073912.2
AC073934.1	AC073934.1
AC073941.1	AC073941.1
AC073957.1	AC073957.1
AC073957.2	AC073957.2
AC073957.3	AC073957.3
AC073968.2	AC073968.2
AC073973.1	AC073973.1
AC073987.1	AC073987.1
AC074008.1	AC074008.1
AC074008.2	AC074008.2
AC074011.1	AC074011.1
AC074024.1	AC074024.1
AC074029.3	AC074029.3
AC074031.1	AC074031.1
AC074032.1	AC074032.1
AC074033.1	AC074033.1
AC074035.1	AC074035.1
AC074044.1	AC074044.1
AC074050.2	AC074050.2
AC074050.3	AC074050.3
AC074050.4	AC074050.4
AC074051.5	AC074051.5
AC074052.2	AC074052.2
AC074096.1	AC074096.1
AC074099.1	AC074099.1
AC074117.1	AC074117.1
AC074124.1	AC074124.1
AC074131.1	AC074131.1
AC074132.1	AC074132.1
AC074135.1	AC074135.1
AC074135.2	AC074135.2
AC074138.1	AC074138.1
AC074139.1	AC074139.1
AC074183.1	AC074183.1
AC074194.1	AC074194.1
AC074212.1	AC074212.1
AC074237.1	AC074237.1
AC074254.1	AC074254.1
AC074254.2	AC074254.2
AC074281.2	AC074281.2
AC074286.1	AC074286.1
AC074325.1	AC074325.1
AC074327.1	AC074327.1
AC074351.1	AC074351.1
AC074366.1	AC074366.1
AC074386.1	AC074386.1
AC074387.1	AC074387.1
AC076966.1	AC076966.1
AC076966.2	AC076966.2
AC076968.1	AC076968.1
AC076968.2	AC076968.2
AC077690.1	AC077690.1
AC078777.1	AC078777.1
AC078778.1	AC078778.1
AC078785.1	AC078785.1
AC078785.2	AC078785.2
AC078788.1	AC078788.1
AC078788.2	AC078788.2
AC078789.1	AC078789.1
AC078795.1	AC078795.1
AC078795.2	AC078795.2
AC078795.3	AC078795.3
AC078802.1	AC078802.1
AC078816.1	AC078816.1
AC078820.2	AC078820.2
AC078828.1	AC078828.1
AC078842.1	AC078842.1
AC078842.2	AC078842.2
AC078845.1	AC078845.1
AC078846.1	AC078846.1
AC078850.1	AC078850.1
AC078850.2	AC078850.2
AC078852.1	AC078852.1
AC078860.1	AC078860.1
AC078860.2	AC078860.2
AC078864.1	AC078864.1
AC078864.2	AC078864.2
AC078865.1	AC078865.1
AC078878.2	AC078878.2
AC078880.1	AC078880.1
AC078880.3	AC078880.3
AC078880.4	AC078880.4
AC078880.5	AC078880.5
AC078881.1	AC078881.1
AC078882.1	AC078882.1
AC078883.1	AC078883.1
AC078883.2	AC078883.2
AC078883.3	AC078883.3
AC078889.1	AC078889.1
AC078905.1	AC078905.1
AC078906.1	AC078906.1
AC078909.1	AC078909.1
AC078909.2	AC078909.2
AC078916.1	AC078916.1
AC078922.1	AC078922.1
AC078923.1	AC078923.1
AC078925.1	AC078925.1
AC078927.1	AC078927.1
AC078929.1	AC078929.1
AC078942.1	AC078942.1
AC078950.1	AC078950.1
AC078955.1	AC078955.1
AC078960.1	AC078960.1
AC078962.1	AC078962.1
AC078962.2	AC078962.2
AC078962.3	AC078962.3
AC078962.4	AC078962.4
AC078980.1	AC078980.1
AC078983.1	AC078983.1
AC078993.1	AC078993.1
AC079015.1	AC079015.1
AC079030.1	AC079030.1
AC079031.1	AC079031.1
AC079035.1	AC079035.1
AC079052.1	AC079052.1
AC079061.1	AC079061.1
AC079062.1	AC079062.1
AC079070.1	AC079070.1
AC079089.1	AC079089.1
AC079098.1	AC079098.1
AC079117.1	AC079117.1
AC079117.2	AC079117.2
AC079140.6	AC079140.6
AC079142.1	AC079142.1
AC079145.1	AC079145.1
AC079148.1	AC079148.1
AC079148.2	AC079148.2
AC079148.3	AC079148.3
AC079150.1	AC079150.1
AC079154.1	AC079154.1
AC079160.1	AC079160.1
AC079163.2	AC079163.2
AC079174.1	AC079174.1
AC079174.2	AC079174.2
AC079177.1	AC079177.1
AC079193.2	AC079193.2
AC079200.1	AC079200.1
AC079203.2	AC079203.2
AC079209.1	AC079209.1
AC079209.2	AC079209.2
AC079210.1	AC079210.1
AC079226.1	AC079226.1
AC079226.2	AC079226.2
AC079248.1	AC079248.1
AC079296.1	AC079296.1
AC079298.1	AC079298.1
AC079298.2	AC079298.2
AC079298.3	AC079298.3
AC079304.1	AC079304.1
AC079305.1	AC079305.1
AC079305.3	AC079305.3
AC079310.1	AC079310.1
AC079313.2	AC079313.2
AC079322.1	AC079322.1
AC079328.2	AC079328.2
AC079329.1	AC079329.1
AC079331.3	AC079331.3
AC079336.1	AC079336.1
AC079336.2	AC079336.2
AC079336.3	AC079336.3
AC079336.4	AC079336.4
AC079336.5	AC079336.5
AC079340.1	AC079340.1
AC079340.2	AC079340.2
AC079340.3	AC079340.3
AC079341.1	AC079341.1
AC079341.2	AC079341.2
AC079341.3	AC079341.3
AC079352.1	AC079352.1
AC079354.1	AC079354.1
AC079354.2	AC079354.2
AC079354.3	AC079354.3
AC079360.1	AC079360.1
AC079362.1	AC079362.1
AC079380.1	AC079380.1
AC079382.2	AC079382.2
AC079384.1	AC079384.1
AC079385.1	AC079385.1
AC079385.2	AC079385.2
AC079385.3	AC079385.3
AC079411.1	AC079411.1
AC079414.1	AC079414.1
AC079414.3	AC079414.3
AC079447.1	AC079447.1
AC079465.1	AC079465.1
AC079466.1	AC079466.1
AC079466.2	AC079466.2
AC079467.1	AC079467.1
AC079584.1	AC079584.1
AC079584.2	AC079584.2
AC079594.2	AC079594.2
AC079600.3	AC079600.3
AC079601.1	AC079601.1
AC079610.1	AC079610.1
AC079610.2	AC079610.2
AC079610.3	AC079610.3
AC079612.1	AC079612.1
AC079612.2	AC079612.2
AC079630.1	AC079630.1
AC079684.1	AC079684.1
AC079742.1	AC079742.1
AC079753.2	AC079753.2
AC079760.1	AC079760.1
AC079760.2	AC079760.2
AC079763.1	AC079763.1
AC079766.1	AC079766.1
AC079768.2	AC079768.2
AC079768.3	AC079768.3
AC079768.4	AC079768.4
AC079772.1	AC079772.1
AC079776.5	AC079776.5
AC079779.2	AC079779.2
AC079779.3	AC079779.3
AC079779.4	AC079779.4
AC079781.5	AC079781.5
AC079790.1	AC079790.1
AC079790.2	AC079790.2
AC079793.1	AC079793.1
AC079799.1	AC079799.1
AC079801.1	AC079801.1
AC079804.3	AC079804.3
AC079807.1	AC079807.1
AC079822.1	AC079822.1
AC079834.2	AC079834.2
AC079841.2	AC079841.2
AC079848.1	AC079848.1
AC079848.2	AC079848.2
AC079851.1	AC079851.1
AC079858.1	AC079858.1
AC079866.2	AC079866.2
AC079896.1	AC079896.1
AC079906.1	AC079906.1
AC079907.1	AC079907.1
AC079907.2	AC079907.2
AC079910.1	AC079910.1
AC079915.1	AC079915.1
AC079917.1	AC079917.1
AC079921.1	AC079921.1
AC079921.2	AC079921.2
AC079922.2	AC079922.2
AC079942.1	AC079942.1
AC079943.2	AC079943.2
AC079949.1	AC079949.1
AC079949.2	AC079949.2
AC079949.3	AC079949.3
AC079949.5	AC079949.5
AC079949.6	AC079949.6
AC079950.1	AC079950.1
AC079988.1	AC079988.1
AC080005.1	AC080005.1
AC080013.1	AC080013.1
AC080013.3	AC080013.3
AC080013.4	AC080013.4
AC080013.5	AC080013.5
AC080013.6	AC080013.6
AC080037.1	AC080037.1
AC080037.2	AC080037.2
AC080038.1	AC080038.1
AC080038.2	AC080038.2
AC080068.1	AC080068.1
AC080075.1	AC080075.1
AC080078.1	AC080078.1
AC080078.2	AC080078.2
AC080079.2	AC080079.2
AC080089.2	AC080089.2
AC080112.1	AC080112.1
AC080112.4	AC080112.4
AC080128.2	AC080128.2
AC080129.1	AC080129.1
AC080129.2	AC080129.2
AC080132.1	AC080132.1
AC080162.1	AC080162.1
AC080188.1	AC080188.1
AC082650.1	AC082650.1
AC082650.2	AC082650.2
AC082651.1	AC082651.1
AC082651.3	AC082651.3
AC082651.4	AC082651.4
AC083795.2	AC083795.2
AC083798.2	AC083798.2
AC083799.1	AC083799.1
AC083800.1	AC083800.1
AC083805.1	AC083805.1
AC083805.2	AC083805.2
AC083805.3	AC083805.3
AC083806.2	AC083806.2
AC083806.3	AC083806.3
AC083809.1	AC083809.1
AC083836.1	AC083836.1
AC083837.1	AC083837.1
AC083841.1	AC083841.1
AC083841.2	AC083841.2
AC083843.1	AC083843.1
AC083843.2	AC083843.2
AC083843.3	AC083843.3
AC083855.2	AC083855.2
AC083862.2	AC083862.2
AC083862.3	AC083862.3
AC083864.2	AC083864.2
AC083864.5	AC083864.5
AC083867.1	AC083867.1
AC083867.2	AC083867.2
AC083870.1	AC083870.1
AC083880.1	AC083880.1
AC083900.1	AC083900.1
AC083902.1	AC083902.1
AC083906.3	AC083906.3
AC083949.1	AC083949.1
AC083964.1	AC083964.1
AC083967.1	AC083967.1
AC083973.1	AC083973.1
AC084018.1	AC084018.1
AC084018.2	AC084018.2
AC084018.4	AC084018.4
AC084024.1	AC084024.1
AC084024.3	AC084024.3
AC084024.4	AC084024.4
AC084026.1	AC084026.1
AC084026.2	AC084026.2
AC084030.1	AC084030.1
AC084032.1	AC084032.1
AC084033.3	AC084033.3
AC084035.1	AC084035.1
AC084036.1	AC084036.1
AC084064.1	AC084064.1
AC084082.1	AC084082.1
AC084083.1	AC084083.1
AC084114.1	AC084114.1
AC084116.1	AC084116.1
AC084116.2	AC084116.2
AC084116.3	AC084116.3
AC084117.1	AC084117.1
AC084125.1	AC084125.1
AC084125.2	AC084125.2
AC084125.3	AC084125.3
AC084125.4	AC084125.4
AC084128.1	AC084128.1
AC084149.1	AC084149.1
AC084149.2	AC084149.2
AC084167.1	AC084167.1
AC084198.2	AC084198.2
AC084200.1	AC084200.1
AC084211.1	AC084211.1
AC084262.1	AC084262.1
AC084262.2	AC084262.2
AC084291.1	AC084291.1
AC084335.1	AC084335.1
AC084337.2	AC084337.2
AC084346.1	AC084346.1
AC084346.2	AC084346.2
AC084357.2	AC084357.2
AC084361.1	AC084361.1
AC084364.3	AC084364.3
AC084365.1	AC084365.1
AC084375.1	AC084375.1
AC084398.2	AC084398.2
AC084706.1	AC084706.1
AC084724.1	AC084724.1
AC084734.1	AC084734.1
