sample_id	run	format	lane	lib_type	sample_index
OCRZ011-A	241003_NB501183_1258_AHL37WBGXW	BCL	*	GEX	SI-TT-D12
OCRZ011-B	241003_NB501183_1258_AHL37WBGXW	BCL	*	GEX	SI-TT-E1
OCRZ011-C	241003_NB501183_1258_AHL37WBGXW	BCL	*	GEX	SI-TT-E2
OCRZ011-A	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-D12
OCRZ011-B	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E1
OCRZ011-C	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E2
OCRZ013-A	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E3
OCRZ013-B	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E4
OCRZ013-C	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E5
OCRZ014-D	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E6
OCRZ014-E	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E7
OCRZ014-F	241114_LH00409_0241_B22FLL7LT4	BCL	5	GEX	SI-TT-E8
OCRZ019-A	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-E11
OCRZ019-B	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-E12
OCRZ019-C	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-F1
OCRZ023-D	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-F2
OCRZ023-E	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-F3
OCRZ023-F	241212_LH00235_0363_B22JJHCLT4	BCL	6	GEX	SI-TT-F4
OCRZ012-A	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B4
OCRZ012-B	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B5
OCRZ012-C	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B6
OCRZ022-D	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B7
OCRZ022-E	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B8
OCRZ022-F	250506_LH00409_0365_B22TV2WLT4	BCL	3	GEX	SI-TT-B9
OCRZ012-C	X204SC25057092	FASTQ		GEX	
OCRZ022-D	X204SC25057092	FASTQ		GEX	
OCRZ011-A	241003_NB501183_1258_AHL37WBGXW	BCL	*	ADT	SI-NT-B4
OCRZ011-B	241003_NB501183_1258_AHL37WBGXW	BCL	*	ADT	SI-NT-B5
OCRZ011-C	241003_NB501183_1258_AHL37WBGXW	BCL	*	ADT	SI-NT-B6
OCRZ011-A	241114_LH00409_0241_B22FLL7LT4	BCL	5	ADT	SI-NT-B4
OCRZ011-B	241114_LH00409_0241_B22FLL7LT4	BCL	5	ADT	SI-NT-B5
OCRZ011-C	241114_LH00409_0241_B22FLL7LT4	BCL	5	ADT	SI-NT-B6
OCRZ013-A	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B7
OCRZ013-B	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B8
OCRZ013-C	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B9
OCRZ014-D	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B10
OCRZ014-E	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B11
OCRZ014-F	241116_LH00409_0242_B22TWKHLT3	BCL	4	ADT	SI-NT-B12
OCRZ019-A	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C1
OCRZ019-B	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C2
OCRZ019-C	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C3
OCRZ023-D	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C4
OCRZ023-E	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C5
OCRZ023-F	241212_LH00235_0363_B22JJHCLT4	BCL	6	ADT	SI-NT-C6
OCRZ012-A	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C7
OCRZ012-B	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C8
OCRZ012-C	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C9
OCRZ022-D	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C10
OCRZ022-E	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C11
OCRZ022-F	250506_LH00409_0365_B22TV2WLT4	BCL	3	ADT	SI-NT-C12
