	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
AADACL2	7.069170941509612e-05	-3.4722214624884174e-05	9.309326631663773e-05	-9.61996917598594e-05	-0.0002351907475042	2.3948196861067915e-05	0.0001165364234983	-7.386313154863805e-05	5.3742983310053975e-05	-2.661280994901085e-05	-5.042623762324831e-05	2.310821876460036e-05	3.640033538882884e-05	-5.17212969129008e-07	-6.510155250748098e-05	0.0001056582086148	-3.443454323072502e-05	0.0001123672786072	-7.527594213012446e-05	4.723542246728863e-05	-0.0001206084202379	0.0001441338612665	7.698934067285773e-05	-9.74630585470546e-06	-4.5866562979057216e-05	-7.292794134295067e-05	9.186205892803732e-06	5.952860352032978e-05	5.242943477847785e-05	8.84594677546598e-05	-7.37241320582931e-05	-0.0001444724950809	-6.08927541442597e-05	-6.397345372354562e-05	-2.5121534273042385e-05	-1.6087386228936966e-05
AADACL3	4.524652737075261e-05	4.449077904534028e-06	8.726797787454628e-06	-4.928346127664501e-05	-2.1657142151253126e-05	1.6777527632980153e-05	-1.667347409846681e-05	-2.8582901887596213e-05	-6.127294050584545e-05	7.531982308219551e-05	9.944896027010713e-06	-8.074607833269453e-06	6.377887032564858e-05	-2.846738098113539e-05	-3.338325819938437e-05	-2.772964328738196e-05	-7.874095342200996e-05	-6.220724763726781e-06	-4.533770976073106e-05	-3.3933367163927275e-05	9.20930299524536e-05	-7.320903734933098e-06	-1.332163244574974e-05	0.000105505194587	-2.1243589141830447e-05	-0.0001029866912908	-1.1522791116498146e-05	-0.0001356495116993	2.514119198029304e-05	0.0001479929682551	3.26990129187784e-06	-2.746724847249985e-05	-3.143813445130553e-05	-5.174785732447988e-05	-1.833221171488194e-05	6.593024709428591e-07
AADACL4	5.231318066809161e-05	-0.0001476817308199	0.0001058817360742	-0.0001639179286577	-0.0002708804309032	7.912442393528894e-05	2.1806016960354617e-05	9.227104865344634e-05	0.0002158886710581	3.1560812599002466e-05	3.305163131512941e-05	7.16154134059717e-05	6.750317226232778e-06	1.575545957419256e-05	-8.550308323165978e-05	-7.243686400155812e-05	-0.0001655333941812	3.9790949012878e-05	-5.482003115992401e-06	2.5478041683636e-05	0.0001698768442983	-1.0017597953987076e-05	5.76517245211788e-05	7.96488615968293e-06	-7.421578389588429e-05	0.0007503194376811	4.239864273071463e-05	-0.0004455278892904	-7.299714419785954e-05	-0.0001332362911408	-4.239978374411046e-05	-0.0001433418796486	-4.573144730999604e-05	-0.000172368580914	-5.475165931463443e-05	-7.324417817030016e-05
AADAT	-1.765560271010146e-05	2.220714894352376e-05	-6.189875557462959e-05	3.305368352867416e-05	-0.0001508642513823	-3.38947079194915e-05	0.0001278308438754	-6.025943634781089e-05	-1.0038471285121417e-05	4.3367773351763616e-05	7.002435507873678e-05	3.7482998597859234e-05	-8.859475125901992e-06	-8.481037130527476e-06	7.282033061548526e-05	2.9768247043979437e-05	0.000161253021379	9.749686867340448e-05	-6.99234552862362e-05	-8.86524621348114e-06	-5.049236378739796e-06	-4.757563603536395e-06	-9.809638135875026e-05	1.828998487269406e-05	-1.806115470383875e-05	-6.486788897376092e-05	-3.822725180152291e-05	-0.0001437158868331	9.299948768163182e-06	0.0001664318212301	-0.0002454309766289	0.0001198326421185	-8.711884016592686e-05	-5.630307141482897e-05	-3.1973299644808586e-05	-4.176911864495516e-05
AAED1	-0.0007346720506081	0.000196702435215	-0.0003607219198698	9.922824690692956e-05	-0.0003821888155891	-0.0004009617783352	-0.000281061374685	2.63501352999284e-05	6.619647078081063e-05	0.0001443284650856	-0.0002117847600791	-0.0002864069685555	-8.368301570603042e-05	0.0001429777910007	0.0009192640749965	0.0001843519028039	-0.0004653199657474	0.0003299620569967	0.0011112610574783	0.0003062460106155	0.0024829183179245	3.936505039420506e-05	4.0019852589495176e-08	-0.0002448290036644	0.0004389424092715	0.0002638473215585	-3.810181529161766e-05	-0.0002650845604777	0.0004738803125848	0.0014594243260361	-7.253991548721416e-05	-0.0001618898668291	0.0005298958811687	-5.948227893500001e-06	0.0001609660526521	-0.0003244656177053
AAGAB	-0.000333387242406	0.0003393789188191	0.000334282099914	-7.422137664783355e-05	-0.0023258476275763	-0.0001536096149534	-0.0001523671935544	-1.804916187190595e-05	0.0003360831554242	0.0005031133123809	0.0003167781110996	0.0003103398273929	0.0003925803895015	0.0001867490076829	0.0001560618239182	0.0002173189002983	-9.893483750099008e-05	0.0002066139477274	0.0001092795626828	9.184787869956536e-05	0.0005164235791622	0.0002803372303414	9.602991546068608e-05	3.6771696036094433e-05	0.0002828694429811	0.0002416600254024	0.0003128899050474	-0.0002641318279388	0.0003561992931368	-0.0001433736426239	-0.0001434902899203	-6.887658524823766e-05	-0.0001778130405404	0.0005873925152411	-0.0003186600597995	-0.0001249475280605
AAK1	0.0028958709318065	-0.0010625405042495	0.0012664276755358	0.0004094050645927	-0.0077753095123423	0.0009115310279431	0.0014578567510294	-0.0016400155065846	0.0010311828228674	-0.0008116396986926	0.0009059148993811	0.0008131080298147	0.0004494045447881	0.0002678460823972	-0.0008029301732199	0.0006261228250806	0.0002505061934322	-5.141438627395602e-05	-0.0003646735477561	-0.0011876298291955	-0.001189187008903	0.0004580323667165	0.0008325362486708	0.0002782197455656	-0.0002858325598499	0.0001160508554899	0.0001626155272276	-0.0002710958292803	-0.0007623955084895	-0.0009776311208388	-0.0006891694967695	-2.571601079238387e-05	-0.0002901264555194	-0.000574059882419	-0.0004920026775321	-0.0010399691614353
AAMDC	-3.921712065704641e-05	0.0001613297809908	0.0002292887511518	0.000450917600856	-0.0019422566444467	-5.72143914496301e-05	0.0001336175508351	8.73603101890225e-05	1.791786141298914e-05	-0.0002340520406598	2.0680430228523948e-05	0.0002320519979737	0.0002353457539967	-0.0001354391160713	-0.0001592260878904	2.5697630752920904e-05	8.868075689657916e-05	3.022977617696349e-05	0.0001755124164344	4.3471040214289206e-05	0.0002904884406633	7.97714108720925e-05	0.0003459578163413	-0.0002040282832818	-0.0002849487024353	0.0009684251486708	4.277771115682738e-05	0.0007580427339379	-5.229739210500209e-05	-0.0001586246915292	-6.121990811686808e-05	-0.0001383769317845	0.0001710679804407	0.0001565266752018	7.623732083583519e-05	-0.000265067782059
AAMP	-0.0001549580968391	-0.0001324315734146	8.472977647439929e-05	-0.000112395467145	0.0007010831931822	-0.0001830919046119	-0.0001613352038117	-0.0001673489158892	-0.0001623678361087	-0.0001221168901422	6.46991427411935e-05	-0.0002604696622469	-0.0001216575235712	0.0001371554577565	0.0004442329452318	-0.000128113566776	-4.2487185797280896e-05	-1.557642384938132e-05	2.568475767816357e-05	0.0005057010067914	-0.0001851765739886	-8.734745602638537e-06	-1.566683998869851e-06	8.894025672624703e-05	0.0002360981316713	7.322092154113152e-06	8.686050699457449e-05	0.0003405327743374	0.0003637619595016	0.0002131683701066	0.0001058172499489	0.0002585142319389	-7.731059317760544e-05	-0.0005157720058513	7.687519116220153e-06	-0.0001591057283741
AANAT	-0.0001928283404195	9.574186728983023e-05	1.0213852000499694e-05	0.000143256044822	-0.0004233233536017	-1.6557027400878818e-05	0.0001292037070498	-7.853438083980287e-06	-0.000138510653333	7.718496997735989e-05	-1.311610593773441e-05	0.0001285094349551	0.0001260044383851	-1.0902345983528094e-05	2.914917554970955e-05	5.4315200849991896e-05	-1.1261048463547063e-05	6.487122622665835e-05	-6.32279981828136e-05	3.5810004574471875e-05	-3.708199460317365e-05	-6.580727534709837e-05	6.215077621317112e-05	1.248678999079678e-05	0.0003484056508535	0.000164103111107	-4.54040392446622e-05	0.0006546229124219	-0.000187732940017	1.8112361173841084e-06	-8.922149352625326e-05	-7.522212676460254e-05	-7.790677636644583e-07	8.199472963929683e-05	-7.741693562416025e-05	-3.082544307978879e-05
