1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
RNF175	P2RY8	CARD11	SLC16A10	RPL3	TGFBR2	MARCH3	DPP4	SLC9A9	PABPC1	MAN2A1	AGPAT4	CD226	PLD1	GZMA	CTSH	AFF2	SUSD4	S100A6	LYAR	RGCC	TOX	HACD1	MYO16	IL12RB2	ATP8B1	LINC00423	HIST1H3J	CTBP2	PPP1R15A	CMPK2	CD74	F13A1	CSF3R	SPTA1	SRGAP3-AS4
FHIT	ZNF654	ERC1	SPATA6L	RPS15A	CRTAM	RAPGEF6	CISH	CMTM8	PPP1R16B	ARAP2	PIP4K2A	ARHGEF12	ABCB1	SH3BGRL3	TANC1	TCF4	ACVR2A	S100A11	PLEK	AHNAK	HACD1	CASK	UST	PDGFD	SPATA5	PGM2L1	HIST1H2AG	SGCD	BTG2	SAMD9L	PFN1	ACRBP	ARHGAP24	MYL4	ENDOU
APBA2	PDE3B	USP32	ADAMTS6	RPL7A	CD96	LINC01524	IGF1R	IL7R	CHD1	CPM	TMCC3	MYBL1	BLK	B2M	MGAT5	NAALADL2	FRY	SLF1	CRTAM	LRRFIP1	FAM129A	ICA1	ARHGAP15	CCL5	FAM35A	IL10	PLEKHG2	TRIO	TULP2	PARP9	VIM	CLU	CPVL	TRIM58	ARHGEF10L
RBMS1	IMMP2L	DGKH	UBE2E2	RPL30	GLIS3	RASGRF2	MB21D2	CYSLTR1	SMCHD1	PHEX	FRMPD3	SYNE2	ROR2	CD8A	DUSP16	AFF3	NEFL	AHNAK	NKG7	TAGLN2	ZC2HC1A	VAV3	EBF1	DTHD1	VKORC1L1	CD38	HIST1H4C	FCGR3A	NFKBIA	SP100	TMSB4X	C6orf25	RAB31	SLC25A37	LINC01242
ABLIM1	BTBD9	RSU1	TRPC1	RPL41	MAGI2	SLC12A6	DACT1	GPRIN3	ABCG1	TBXAS1	PZP	GBP5	GZMK	C12orf75	PTPRM	NBAT1	PRKCA	FAM129A	CCL3L3	LMNA	CEP128	GCNT4	CCSER1	ZBTB16	PRMT3	HAVCR2	SLC2A3	EPB41L4A	JUND	DDX60	CFL1	PTCRA	LRRK2	IFIT1B	ALDH3B1
SERINC5	MTMR8	GMDS	SAMD12	RPL39	TXK	GLIS3	SLFN12L	DOCK10	USP36	MCOLN2	UTRN	DAPK2	P2RY14	CCL5	ADAM19	LRRN3	CHST11	FRY	TNIP3	TMEM67	IL7	DNAH8	MAP3K1	PIK3AP1	NDUFAF2	ANTXR2	JUNB	OSBPL5	GADD45B	GBP1	HLA-DQA1	PTGS1	SERPINA1	NFE2	IFIT1B
IGF1R	CCDC7	TRERF1	SPATA6	RPL29	ST6GALNAC3	ETV6	FNDC3B	ADAM19	TMEM2	FYB	GAB3	CCL5	DLEU1	ZEB2	LGALS3	RPS24	TNFSF11	ITGB1	ASTL	FAM102B	RTKN2	FOXP3	LINC00511	PZP	SLC39A11	PACSIN1	HIST1H1A	VAV3	MAPRE2	CXCL10	CDT1	HRAT92	IRAK3	TRIM10	SFRP2
FOXN3	NCL	MKL1	SYTL3	RPS6	SNTG2	SSH2	SOCS2	ASAP1	PDE4B	ELMO1	NPC1	LRRC8C	MYBL1	TTC38	B4GALT5	PLCB4	FUT8	SEPT11	CD8A	AGPAT4	CCDC141	SLC14A1	RASSF6	DOCK5	HSP90AB1	GZMK	H3F3B	IGFBP7	SRSF7	LY6E	STMN1	CLEC1B	CD300E	SLC6A8	HBQ1
PDE7A	TSPYL2	FAM49B	FER	RPL18	BACH2	PKIA	PCGF5	AFF1	NFKBIA	TOX2	PRR5L	CD96	SYTL2	S100A4	S100A4	SDK1	ITGB1	TRERF1	B2M	PRKCG	BCAS1	KALRN	SUSD4	NCAM1	KCNQ5	POU2AF1	HIST1H2BN	XCL2	TUBA1A	HERC5	PTTG1	PDZK1IP1	KLF4	TNS1	ADGRB1
CD96	HIST1H1C	ZNF609	TTC28	RPL18A	SNED1	CTLA4	PLPP1	MAP3K1	REL	KIAA0825	RAP1GAP2	CASK	LTK	FCRL6	CMTM6	LEF1	CSGALNACT1	FUT7	CD160	CD44	CASK	PLCL1	AUTS2	A2M	TTC27	DSCAML1	TSPYL2	FCRL3	IER5	PLSCR1	MYL6	CTTN	PLAUR	YBX3	MPP1
AAK1	KIAA1328	FKBP5	PKD2	RPS7	MAML2	ANKRD55	MAL	SEMA5A	P2RY8	PASK	FYN	IL15	IL18R1	GNLY	LAMA2	CHI3L2	TMPRSS11E	TIAM1	AOAH	FAM107B	LINC00152	HDAC9	MB21D2	MYOM2	ADAMTS17	RGS6	PPP1R10	KLRD1	TNF	SPATS2L	HOXA13	ITGB3	MEF2C	TGM2	TNS1
