1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
MAST4	SCFD2	ACTR3	PDZD2	RPL21	ZNF609	ICOS	SFMBT2	CYSLTR2	BTG2	SMCHD1	EIF4G3	PPP3CA	TRIQK	CD3D	EML4	FLNB	SLC9A7	TAGLN2	CBLB	DZIP3	CCM2	SH3RF3	SLC40A1	CD247	TJP2	SH3RF2	EIF4A3	MCTP2	ZBTB10	HSH2D	PPP1CA	PROS1	HK3	LINC01309	SNX22
CACHD1	SCLT1	CNN2	PLPP1	RPL36A	TSPAN32	GTSCR1	ARHGEF3	MTSS1	GADD45B	PTPRJ	NCALD	MAP3K5	MAN1A1	CD3G	TNFSF13B	PECAM1	IL9R	RCBTB2	PFN1	TCP11L2	NEDD4L	TOX	TNFRSF18	AOAH	PDXDC1	MTSS1	BRD2	DYSF	CXCR4	PSMB9	ATP5L	PDLIM1	MITF	BCAR1	TP53AIP1
GRIP1	ZNF407	CCND3	MYO1B	UBA52	CLEC11A	GBP5	N4BP2	CD226	TGFB1	SLC2A3	ADGRG5	ADK	DPP4	CALM1	FRMD4B	EPB41	SLCO3A1	IL32	CTSC	MBNL2	JAZF1	PALM2-AKAP2	DLEU1	TPST2	ALG14	NEK7	HIST3H2A	CYBA	NFKBIZ	LGALS9	LCP1	SH3BGRL2	CD68	LY86	TAS2R8
CCR7	HNRNPU	SCMH1	GLIS3	RPL27	NDFIP1	SDK1	ADAMTS17	SYNE2	PSME4	MIR181A1HG	MYO1F	PCNX1	IL12RB2	CFL1	TRIQK	FAM117B	IL4R	DUSP4	CYBA	CFAP69	SYNE2	LEF1	AFF1	HCST	EIF2B3	PTK7	RASD1	IL2RB	ZFP36L2	STAT2	ATP5G3	MAP3K7CL	RBM47	YOD1	TBX6
OPRM1	RASA3	PTK2B	SNX9	RPS29	FAM117B	SFMBT2	LEF1	GLIPR1	SLC2A3	MED13L	PYHIN1	KAT2B	RORC	LILRB1	MAP3K5	PELI2	S100A11	SLC22A3	E2F3	EFCAB2	LAYN	ST8SIA1	AKT3	MCTP2	SRM	CCSER2	WSB1	IFITM2	RRP12	DDX58	GMFG	GNAZ	TLR8	SAPCD1	SYN3
ITK	RFX3	CORO1A	LINC01284	RACK1	CD248	IPCEF1	GNAQ	CD69	LRIG1	SMAD3	GALNT3	SYTL2	GAB1	TMSB4X	SASH1	NLRP14	EDARADD	MCF2L2	CLIC1	GAS7	FAM160B1	ATXN1	A2M	TBX21	GTF3A	GFOD1	HIST1H4I	PTPN12	CXorf57	ADAR	COX8A	BMP6	PTGS2	SHISA2	LY6G5C
SATB1	DDX5	PFN1	MAP2	EEF1B2	FUT8	ITGA4	TAF4B	UTRN	IDI1	LINC00152	TMEM181	FXYD2	RUNX2	MTSS1	ZC2HC1A	DPPA4	SEC61B	FSD1L	PLEKHG1	CFAP20	HS3ST3B1	TSPAN5	KIF13A	GATA6	FGL1	BCL2L11	GLS	MYO6	PMAIP1	SCLT1	CNN2	PGRMC1	LILRB2	HCK	SNRNP25
LINC00861	TTC17	BCL11B	GPAT3	RPL35	ABCB1	ATXN7L1	TMEM123	PASK	KMT2E	SERINC5	OSBPL5	IFI27	IFNGR1	IL32	IL7R	SH3RF3	MCF2L2	B2M	ATXN1	TTLL5	RGS1	TBC1D4	MYOM2	MYO1F	MTAP	ANKRD33B	SERTAD1	CXXC5	ARIH1	C19orf66	PSMB8	PPP1R14A	PLA2G4A	BNIP3L	MEOX1
SCML1	FBXL17	RNF144A	MIPOL1	RPS21	NUCB2	MAP7	LINC01500	VIM	PFKFB3	SLC4A7	PLCB1	AGO4	CFH	IFITM2	LRP12	MTA3	AKAP12	ANXA5	XCL1	CORO7	MAN1A2	CHST11	SUPT3H	IL18R1	PUM3	PITPNC1	GNAS	GPR153	YWHAZ	PHF11	MT2A	HRASLS	CD163	VEPH1	CEP41
DIP2B	LINC01473	SMG6	SLC1A1	RPL36	PITPNC1	LINC00402	KLHL5	KLF12	H3F3B	TP53INP1	PTPRM	PRDM1	DUSP1	HLA-DPA1	PFKFB3	NLGN4X	GRIA3	RIMS2	FAM46C	TSPAN2	EZR	CHN1	TBC1D12	LINC00299	CC2D2A	SEPT6	HIST1H1T	GFOD1	ODC1	ZBP1	CAP1	P2RY12	LGALS2	H3F3C	TEX11
SKAP1	NSF	HS2ST1	ZNF208	RPS24	NR3C2	FAM117B	USP10	ACVR1	SRGN	FNBP1	SCD5	TTC39C	MED12L	EPDR1	ANK1	TMSB10	INPP5D	NUGGC	TOX	IVNS1ABP	ARID5B	RASA2	HIVEP3	SRGN	FTCDNL1	RERE	HIST1H3A	ZEB2	PPP1R10	PSME2	RRM2	TLN1	MARCKS	GCM1	TMEM52B
PAG1	SPATA5	FAM222B	NMNAT3	RPLP0	GRAP2	PYHIN1	ISM1	ZNF208	CENPC	HNRNPLL	GALNT10	CHD9	C1orf141	SRGN	CERK	CR2	TNFSF10	ACTN4	CLEC2B	ARL4A	SAMHD1	SHMT2	CYB561	NUGGC	EDA	HDAC4	NASP	METRNL	KLF2	IFIT5	TXNDC17	DAB2	IL13RA1	XK	PSG8
TBL1X	BBS9	ZFAND3	LINC01376	RPL27A	PACS1	HS3ST3B1	ADGRE5	ANKRD12	PELI1	RILPL2	PITPNC1	PITPNC1	ARL4C	EMP3	LDLRAD4	PTGIR	KIAA0825	CNTNAP1	TMSB4X	PGM2L1	PPP1R16B	METTL7A	NCALD	AUTS2	R3HDM1	CLDND1	HIST1H2AD	RIN3	PER1	TRIM25	COX6C	GFI1B	BASP1	LGALS3	DEPDC4
TRABD2A	ZCWPW2	UBAC2	SFMBT2	RPL37A	NAP1L4	GBP2	LRRN3	S100Z	ATAD2	ZC2HC1A	GNG2	IL26	SPON1	CALR	ANXA2	ZNF215	YBX3	NEDD4L	TPRG1	JMJD1C	TNFRSF1B	GPA33	TOB1	KLRB1	RASA3	TMSB4X	PPP2R3A	KLRK1	NFKB1	FCHSD2	TXN	SPX	FCER1G	HES7	DNAH6
MGAT4A	HNRNPDL	ATG7	BCL11B	RPL13A	NAALADL2	FYB	LINC01420	DPYD	GCH1	SH3KBP1	CADM1	GALNT10	NNMT	RGS9	B3GNT5	PDE7A	CAPG	CD99	CD99	FMN1	PLCL1	TIAM1	LTB	B2M	SLC30A8	KIAA0232	H1FX	GOLIM4	EGR3	TNFSF10	ACTR3	PEAR1	G0S2	BAG1	NREP
MARCH3	CDK8	TCF12	NFIA	EEF1G	STK33	MBNL1	FLT3LG	DOK6	GPCPD1	EPB41	ADCY9	DOCK8	LST1	SLCO4C1	MYBL1	HPGD	GCNT1	CD52	SH3BGRL3	AHR	HLA-DRA	MARCH3	PELI2	GPR65	LARP1B	SIPA1L1	NFE2L3	AKT3	WDR74	ETV7	CHCHD2	FTH1	CLEC12A	HEMGN	NFIX
PCED1B	SIK2	SYNJ2	FAM153B	RPL7	ABLIM1	TPR	FAM69A	HIVEP2	RNF19A	OPTN	SLC4A4	JAK2	PRR5	CEP78	ERN1	MARCKSL1	C5orf17	CCR4	CCL3	SEMA4A	GLCCI1	FXYD2	RPS19	SAMD3	EHBP1	CASK	IRS2	SETBP1	HSPH1	DRAP1	DUSP4	MTURN	CHI3L1	OR2T12	CACNA1E
ETS1	MPP6	SERINC5	MAGI3	PFDN5	ANKRD44	CHI3L2	PTGER2	TENM1	FAM177A1	WNK1	MYBL1	TC2N	ELOVL6	SLC1A7	SLAMF1	RASSF6	SAMSN1	TFRC	AGBL4	ODF2L	CD74	LINC00891	WWC2	GZMM	CAMKMT	TIGIT	BTG1	KIR2DL1	ID2	TAP1	PSMA4	LGALS12	FZD1	EPB42	NR2F6
OXNAD1	RPGR	STRBP	FSIP2	RPL38	ZNF827	MALT1	C4orf32	CCSER1	IRS2	LRBA	NCOA1	PREX1	ELOVL4	TGFBR3	AHR	STMN1	FGFR1	ANKRD28	CXCR4	ATP10A	UBL3	CCDC50	FAM19A1	CBLB	NME2	GNB4	PDE4C	LILRB1	ATF3	TYMP	PSMA2	HIST1H3H	FCER1A	TDRD1	ZNF177
PIK3IP1	WRN	CBFA2T2	EPHB6	RPS20	ABCD2	LPIN2	ETS1	ADAM23	GSPT1	OSBPL8	P2RY8	INPP5D	GALC	SERF2	PRDM1	TMEM37	GML	NTRK2	FYN	FOS	HLA-DPA1	DLGAP1	TRIQK	ARL4C	COMMD1	PALM2-AKAP2	NFKBIZ	FGR	HMGCS1	HLA-E	C12orf75	CLDN5	AQP9	CYP7B1	TACR1
FAM65B	MMS22L	RERE	APP	TMSB10	CBLB	FOXP1	TSHZ2	LINC01362	YPEL5	SGPP2	YES1	CAST	RBM24	PPP1R14C	HRH4	SELL	KRT7	SLC2A3	CD2	GPCPD1	SLC16A10	SAMHD1	PZP	IL2RB	TANC2	SPTBN1	TUBB4B	PLA2G16	DDX3Y	GPR155	DYNLL1	P2RY1	CREB5	NCOA4	SPATA24
MCUB	ACAD11	ST8SIA4	PARD3B	BTF3	USP11	LINC01281	AFAP1	KLF6	DDX21	ARID5B	MYO6	PLCL2	SLC7A5	GSTP1	ZC3H12D	CAMK1D	DIP2C	TSPAN2	A2M	TMEM65	ST8SIA4	MLLT3	KLHL5	NCR3	SND1	RCSD1	RNF19B	PLAC8	MCL1	BISPR	ISG15	STON2	HP	RUNDC3A	RIOK3
LINC01550	GPHN	SLC16A7	PKIA-AS1	TMSB4X	PADI4	ESR1	SYNE3	JUNB	PMAIP1	SLF1	SYTL2	PPP2R2B	NRIP1	MYO1F	IL2RA	PCDH9	CCR4	TWIST1	YBX3	ABCC1	PELI1	CMTM8	PRKG1	SYNE1	LARP1	TACSTD2	TUBA1B	PTGDS	ASTL	PPM1K	SLC25A3	ELOVL7	RIN2	ERFE	ZNF155
SORL1	SPIDR	ACAP2	XIST	LTB	PRCD	ELMO1	IKZF1	SOCS3	SKI	TMSB4X	RUNX1	ATXN1	CA2	LCP1	TMEM156	MCC	GDPD5	HLA-DRB1	PZP	NME7	DUSP16	CYP7B1	NPTX1	COL6A2	MAP2K5	SH2D1A	ZFP36L2	ABCB1	RASGEF1B	JAK2	MXD4	ABCC3	STEAP4	MKRN1	DESI2
SLC12A6	DCAF10	CCND2	VOPP1	RPS11	PRKCA	CARMIL1	CBFB	ANTXR2	ARID4B	ARID4B	AGTPBP1	DOK6	PTPRM	ITGB1	VCL	BTBD3	SOS1	CAST	APMAP	EFHC2	IL10RA	NIPAL2	ACE	SYTL3	SH3D19	AGAP1	HIST1H4A	PRF1	ARF4	TRIM5	SH3BGRL3	BTK	SDC2	FAM210B	CLDN15
DENND5A	TBC1D32	KCNQ1	ZDHHC15	PTMA	ICA1L	EPB41L3	DST	TMEM65	SIK3	F5	STK39	PCNX2	JAML	C1orf21	ARNTL	SCN9A	SLC4A7	LINC00511	OAZ1	CCDC173	CASP8	TNFRSF1B	TMEM156	ABCB1	ZNRF3	USP24	KIAA1683	CD244	IL4I1	NLRC5	H2AFV	ARHGAP6	TRNP1	LINC00900	KIAA1324
TNFAIP8	ZCCHC7	PKIG	SH3YL1	FTH1	PRMT2	KLHL5	RASGRP1	APP	STAT3	NFAT5	FCHO2	NT5E	EML4	RAP1B	RAB11FIP1	CD55	RPL13A	PPP3CA	RARRES3	MOK	TULP4	NCF4	EPB41L4A	IFITM2	SLC2A13	TMEM245	HIST4H4	CST7	EIF4A3	UTRN	PSME2	CD36	ANPEP	PCDHGA8	SOX10
EDAR	UPRT	GBF1	FBXL13	HINT1	SLC16A10	ZNF831	GPRIN3	CCR4	CREM	TET2	CEP78	CD2	SPOCK2	VCL	OSBPL3	TTC28	ZNF365	PDZD2	UBC	XYLT1	DUSP10	TLR5	GPHN	GALNT3	ATR	GRK5	OAT	NIPAL2	UBC	USP15	BTF3	CD68	THBD	CNKSR3	TMEM191C
FOXO1	TBC1D19	FLI1	RNF157	RPS10	SNRK	RAB30	KIAA2022	CDC42SE2	SYAP1	GLCCI1	ZFAND3	PRKCB	PRF1	MYL12B	VIM	CHST2	NR3C1	ATXN1	FABP5	GPR183	ITGB1	TXK	TMPRSS11E	S100A4	NME1	PREX1	CABYR	CNR2	DDX3X	PALM2-AKAP2	LSP1	ASAP2	LRRK1	PMP22	LINC00954
FAM102A	USP47	R3HDM1	LARGE1	EEF1D	BTBD11	MAN1C1	LPIN2	SESN3	BTBD11	NAMPT	JAKMIP2	SBF2	S100A4	CCL4	ZFP36L1	CD38	MAP4	LRRFIP1	MT2A	JAM3	SLFN5	SMAD3	SBF2	ERN1	INVS	ACTG1	BOLA1	FCER1G	CYCS	PSME1	S1PR4	AQP10	FGL2	APOBEC4	GJA1
NCOA3	ROCK2	ANGPT2	FAM169A	TOMM7	PARD3B	CDHR3	ABCC1	CEP128	SYTL3	ESR1	RAB27A	SIK3	EOMES	S1PR5	EVA1C	PITPNC1	REEP3	ANTXR2	PIK3R1	KIAA0922	SNED1	ZSWIM6	KAT2B	CLIC1	ESR2	NFATC1	TLE4	MBP	DUSP10	IFITM1	MYL12A	OAZ1	LILRA2	GLP1R	ARHGEF26
KLHL2	ELP4	TGFBR2	KIAA1958	RPL4	SGK223	SAMHD1	MYB	NLGN4Y	SBDS	RBPJ	SRPK2	ZNF683	CCR1	UBC	ANKRD28	EPB41L3	ATXN1	TMSB10	RAB27A	AKT3	CD58	NABP1	SORL1	CD52	HOMER1	E2F3	DNAJA1	NKG7	BTG1	SAT1	HMGB2	TAGLN2	CYP1B1	RBM38	TRAF3IP2
PTK2	ARGLU1	SUSD4	RALGPS2	NPM1	OSBPL5	TLK1	ARL6IP5	GPCPD1	SAMSN1	FAM65B	PLEKHA2	EDARADD	SKAP2	ABI3	TSPAN5	KANSL1L	MAST4	PPFIBP1	FCRL6	EMP1	HLA-DPB1	SWAP70	WDFY3	ITCH	NOP56	MT2A	TNF	CRTAM	C6orf99	XRN1	PSMB3	MPP1	SYK	MCAM	RMDN3
MTFR1	SLC2A13	TNIK	THOC3	COMMD6	CAMK4	SRGAP3	TTC39C	ARHGAP5	BRAF	SKAP1	RAPGEF2	TAB2	IKZF2	CMKLR1	SAMD12	RALGPS2	OSBPL1A	USP46	CD84	FAM179B	SAMSN1	DSCAML1	CEP112	XCL1	UBE3C	SESN3	HIST1H3D	HOPX	TUBB4B	PSMB8	HNRNPA1	TSPAN33	SLITRK4	LAMB4	TRABD2A
ITGA6	YTHDC1	ARHGAP26	AGBL3	UQCRB	LRRC8C	RALGPS2	STAMBPL1	ZBTB20	ANKRD12	HELLS	SYNE2	STAT4	RNF165	PPM1L	AUTS2	CSGALNACT1	MAP3K1	CRIP2	SRSF7	FOXN2	NCF4	C1orf112	DAAM1	CLIC3	WDR43	NAMA	HIST1H3H	RAB27B	DUSP2	NUB1	C17orf49	C19orf33	CPED1	PAMR1	SLC19A2
RGS10	ATRN	HERC4	VWDE	RPL23	ITK	ACVR2A	ANKRD12	TXNIP	RCOR1	PTPRC	CNOT6L	NFIA	CHD9	DAB2	PTPN4	KIAA1958	HRH4	GSTK1	EIF1	KIF27	SAT1	FOXP1	ACVR1	YES1	IQCK	CTLA4	LINC01393	TOX	IFFO2	C5orf56	UCP2	SAT1	PLA2G7	MYEOV	GLRX5
SUCLG2	NR3C2	TMCC1	DENND2C	COX4I1	CHKA	BMP2K	TRABD2A	HHAT	MAP3K2	VOPP1	GTDC1	TXNIP	GBP5	ITGAM	ANKRD12	BCL7A	STK33	SEPT10	LINC00152	GPRIN3	MAP3K5	ARHGEF3	HPGD	CCL3L3	C11orf49	CNR2	HSF2BP	KIFC3	SERTAD1	NMI	NDUFA12	PKHD1L1	CTSS	ADAD1	MYL5
SUPT3H	TSGA10	STX8	CDC42BPA	FTL	SCCPDH	TMEM156	WHSC1L1	ICOS	TBC1D15	STK39	NCOA2	DPP4	ITCH	DOCK5	NTRK2	NUCB2	LINC00426	PAG1	PSMB9	PPP3CA	MIR181A1HG	IKZF4	ADK	LAMA2	GATAD2A	ISG20	RSRP1	LINGO2	LMNA	IFI27	ATP5C1	MMD	KCNE3	EIF1AY	FEZ2
SELL	EMSY	PTEN	KCNQ1	COX7C	NFKB1	CD28	TRAK2	SMCHD1	PNPLA8	MAP3K5	ATP9A	EPS15	CCR2	FGR	S100A6	FIRRE	ANKRD28	ATP2B4	GZMH	N4BP2	SLC1A4	CNST	ADCY9	HLA-C	MIF	PMAIP1	HIST1H2AB	NCALD	HEXIM1	TRANK1	ATP5E	VCL	TBC1D9	EPB41L3	TRIM58
DISC1	PIGN	ZFYVE28	EVA1C	RPL31	PTPN4	ZC3H12D	ENO1	KRT1	GADD45A	UBASH3B	EPB41L4A	SLC22A15	CBLB	AKR1C3	NPDC1	NSF	RPLP0	GLUL	HLA-DMA	ITGA4	HLA-DQA1	TRAF1	ERN1	SLAMF7	CASC19	BTNL9	FAM53C	JAKMIP2	CCDC173	B2M	DCTN3	GUCY1A3	MS4A4E	TMEM86B	CCL3
MBNL1	CENPK	CARMIL1	PDE7A	CD48	NBEA	SELL	REXO2	PRDM1	ZDBF2	RASSF3	PRKCE	ZDHHC14	MYO1F	CHST12	SNX9	SCN3A	XKR9	TNFSF10	ZFP36	ENPP2	ABLIM1	HSPA12A	PKIA-AS1	FOSL2	ABL2	FAM126A	CALM2	LINC00377	SOCS3	CHMP5	UBL5	GATA2	HMOX1	RIPK4	CYC1
