1	2	3	4	5	6	7	8	9	10	11	12
ASPH	LRP1	FAU	PLP2	TRIO	FOXO3	TCF7L2	EZR	PLS3	HDAC9	ADAR	LIMCH1
PPP1R16B	CTSD	RPL22	OST4	ERBIN	AGO2	ANKH	SNX2	CLRN1	TSPAN33	IFITM1	LINC01388
CUX1	SLC7A7	HLA-DMA	VIMP	PARP8	EFNA2	EPS8	LRRFIP2	APEX1	AIM2	SIGLEC1	LEF1
TBL1XR1	FNDC3B	RPL39	RPS27	PHACTR2	TET2	CXCL2	TTC7A	RASGEF1A	PIK3CB	STAT2	LAD1
NRP1	SAMSN1	RPS9	SMIM5	PAK1	IQCJ-SCHIP1	PEAK1	KLF6	TXN	VAC14	MT2A	ICAM4
MTMR1	CKAP4	RPS15A	IGHM	ARHGAP15	CELF2	NAMPT	TXK	BCR	NAP1L1	GBP5	ASB4
RUBCN	BST1	EEF1A1	MZB1	STK39	SKI	IL1R1	CAPZA2	FAM160A1	PLEKHA5	TYMP	CNN3
OGT	PLBD1	RPL17	GAPT	VPS13B	SAMSN1	GBP2	PELI2	SOX4	CD74	HELZ2	SYNE2
MOB1B	PLD1	ARPC1B	PLAC8	SSH2	FAM102B	HMOX1	DBI	ATP2B4	TMEM14A	DTX3L	CAMK4
RELL1	AGTPBP1	FCER1A	STMN1	DPYD	PDE4C	CSF1R	IQGAP2	MYO1E	FKBP1B	BST2	PRDM6
ITCH	CEBPB	RPL13	TCL1A	SLC8A1	PRKCE	CTTNBP2	PKP2	CXCR2	CCDC26	IFIH1	FOXD4L5
SND1	S100A6	RPS19	RPL9	AP3B1	ANKRD11	PSAP	FOSB	SPATS2L	SLC9A9	PNPT1	SKAP1
ARID2	NAIP	RPL27A	SPIB	FOXN3	NUFIP2	ADGRE5	IQGAP1	MGLL	CD59	RGL1	LINC00299
ZDHHC17	IRS2	RPS23	HIGD1A	NCOA2	SNX31	AHR	RAB11FIP1	SAMHD1	CTNND2	SAMD4A	BCL2L14
TGFBR2	GAPDH	ACTG1	RPL13	IPCEF1	BTBD2	MAP4K3	TAGLN2	RAC1	TANC2	TMEM123	ENOX1
ATP10A	SERPINA1	NME2	DNASE1L3	ARL15	EZR	XYLT1	MOK	UPK3A	APBA1	HERC6	CCR7
CYFIP2	VMP1	CFL1	RPL6	TAOK3	CMIP	FYB	MCL1	FCGRT	HLA-DPA1	GBP2	SPINK2
ZNRF2	METTL9	RPL36A	RPL23A	UBE2E2	RCC2	ATF3	TREM1	PLA2G16	CD226	SMCHD1	NTS
CERS6	RAB3D	RPS16	UBB	PRKCA	POLR2A	SASH1	SVIL	RNF220	FLT3	PARP12	FAM19A1
SEL1L3	SDCBP	GAPDH	RPLP0	ZBTB20	RTN2	UTRN	PRKCE	TNFSF13	ERICH5	IFI35	TNFAIP8L3
STAG1	THBS1	GSTP1	UCP2	TCF12	RIPK1	CXCL16	FRY	RAB29	PDE1C	SLFN5	IKZF3
ARHGEF7	QPCT	RPS5	SNRPN	FMN1	SPAG9	FRMD4B	JUND	TNNI2	DENND1B	FAM46A	RAB8B
KHDRBS2	HMGB2	RPLP1	RPS19	FAF1	EMILIN2	IL1R2	TRAK1	CAPN6	TMEM132E	JAK2	CD40
SFMBT2	NAMPT	RPS25	DERL3	USP32	ARIH1	PTGS2	SPTLC2	PIK3R5	TMSB4X	TNFSF13B	FCRL2
BCL11A	PYGL	EIF3K	RPS4X	KDM7A	MANBA	SAT1	HIPK1	S100A4	PRELID2	PLSCR1	ACHE
