	1	2	3	4	5	6	7	8	9	10	11	12
AADACL2	-2.471654730703086e-05	-3.029074697583295e-05	-5.831920815193725e-05	0.0001837160869995	-1.0212171017791913e-05	3.082380123594231e-05	-8.588012056738869e-07	-1.6493965099121333e-05	-8.730897465756682e-05	-1.1472520055694383e-05	-7.844762768697467e-05	-3.4439884235573474e-05
AADACL3	5.129881939211522e-05	0.0001627501213074	-8.184466565263089e-05	-1.6965178054067202e-05	-7.596277679858814e-05	6.19420967021779e-06	-3.8071275510812144e-05	0.0001378354342606	-7.756218451315553e-05	-5.564538099946556e-06	-0.0003406100766139	-9.31223365360823e-05
AADACL4	0.000103333395497	-9.493845715823434e-05	-0.0003043424691898	-0.0002050490756349	0.0002055417555811	9.605835427156953e-05	2.290457720340949e-05	5.508890068324753e-05	0.0002732288828897	-2.8173673171995668e-05	0.000176385048293	-9.818393320106612e-05
AADAT	-7.228220501836333e-05	-1.781855043469366e-05	-3.766810049459285e-05	0.0002653587016553	-4.3930639474023824e-05	1.0244957385925892e-05	-1.733303061367678e-05	-1.616200911728112e-05	-7.400740088091269e-05	0.0001228142280673	-8.90964757754036e-05	-5.066093991465889e-05
AAED1	-0.0002479581568352	-4.419743185119049e-05	0.0004061436691104	-0.0005670523375818	-0.0003433568766816	-0.0002878502156865	0.0004088821105576	0.0012178606621345	-9.453420971232488e-05	0.0001345635832618	0.000153542735486	0.0007230846955864
AAGAB	0.0003855252815152	-0.0001481069739162	-0.0008577729663924	-0.000172030456846	0.0006506025576139	8.304646976311708e-05	6.550247416600442e-05	-9.841631639593152e-05	-0.0002540625938981	-0.0001310161681217	-6.477610613044585e-05	0.0001162442656555
AAK1	-0.0001780280231113	0.0006720558838887	-0.0014511246528598	-0.0014583462429379	0.0006559182064154	0.0001578894518181	0.0002648820749182	0.0022680543042287	-0.0002951628032714	-0.0003428854055592	-0.0004345853446417	0.0003881942643658
AAMDC	0.0002333339631206	-0.0001501796950043	-0.0002433611110427	-1.909068490426005e-05	0.0002450760821974	-0.0001658282475142	-0.0002563550849471	-1.8685872288527905e-06	0.0002899067037203	1.991197705057848e-05	-0.0002022043368752	2.1434871932674095e-05
AAMP	-0.0003125995713481	0.0001312022863991	0.0006479382959385	0.0002056884509984	-0.0001656621886322	-0.0003007952304179	-7.521309947221699e-05	-0.0001516410469602	3.255845844877685e-05	-5.771883959774176e-05	0.0003531428897428	-0.0004353946975097
AANAT	0.0003925213335221	-1.7018248649690836e-06	-0.0003604060514583	-0.0006309455891973	-7.162057345879374e-05	0.000327222812157	-8.930820553107251e-05	5.849996502061258e-06	0.0001874061238936	2.552426321178233e-05	0.0008440451380606	0.0005008477137214
AAR2	0.000131446593386	-1.3892220982481353e-05	-0.0003058539762494	5.294928303784795e-05	0.0001911550084825	6.428926870794314e-05	-0.000184437229911	-0.0001966919172436	0.0002080087400033	-9.56241450811144e-05	-5.855045060015817e-05	0.0003330859726945
AARD	-2.17214778357892e-05	1.1668122493759369e-05	-9.25331165028381e-06	-6.32050151512602e-05	-4.97280188629411e-05	0.00029254475609	-9.828213614132948e-05	3.2690616328067785e-05	1.1391507344657012e-05	-2.990848303029543e-05	-0.0002069256613616	-0.0001197579395533
AARS	9.625314266438627e-05	-1.3999683429429935e-05	-7.873500674667995e-05	0.0002681965061852	1.6236159882227573e-05	-9.980894511915624e-05	3.1134084195143144e-05	-9.18409209634195e-05	-0.0003215423011692	4.527910412481264e-05	-0.0003974234820113	-0.0003092994371713
AARS2	0.0002026446805492	-7.506421314290007e-05	-0.0002923465657811	-8.600768826228165e-05	0.0002959241036124	-9.330687777131131e-06	-1.3135948726840492e-05	-0.0001411922181901	-3.4752243898941715e-05	-5.450919233601716e-05	-0.0002457378528913	-0.0001978568130911
