1	2	3	4	5	6	7	8	9	10	11	12	13	14
MEF2C	NOTCH2	VPS37B	AEBP1	AIM2	PLEKHG7	RPS18	PLEKHG2	PLXNC1	AQP3	SEC24D	HPGD	GALNT18	HRASLS
TXNIP	SLC22A15	PLCL2	CBLB	ZDHHC14	RABGAP1L	UQCRH	GPX8	BORCS5	MYDGF	ERLEC1	RBM47	SLC1A7	CXCL5
STX7	OSBPL3	KIAA0922	LBR	MIAT	TESC	CORO1A	LINC00910	NRCAM	PRDX4	CEP128	GPRIN3	PLCB1	PGRMC1
STK17A	GPR183	BACH1	MROH9	MICU2	CSGALNACT1	MT2A	UBC	NEAT1	SLC1A5	SUB1	UBE2G1	KLRB1	TIMP1
CDK13	ALOX5	SIPA1L1	CSGALNACT1	TNIK	PPP1R9A	S100A4	HERPUD1	EMP3	LMAN1	SH2D7	IRF4	SGCD	PROS1
C12orf42	MALAT1	PARP15	UTRN	AK8	PLXNC1	PPIA	HIST1H1A	TUBB6	SPACA3	CHPF	FUT8	PLXDC2	BEND2
PALM2-AKAP2	DEPDC5	RASGRP3	TAPT1	MUC16	CAPZB	SUB1	SLC2A3	GAS7	CRELD2	SLC44A1	FBXW7	VCAN	SMIM3
UACA	MDFIC	LHFPL2	TNFRSF18	FAM129A	CD80	RPS12	PMAIP1	MAP3K8	STC2	SPCS1	IQGAP2	GPR141	ACTN1
PARK2	COL4A4	SMC6	TCF4	MARC2	GAPDH	TBC1D3B	IFRD1	CA8	SLC7A11	SDF2L1	MIR193BHG	SAMHD1	TMEM158
MARCH3	PTPRJ	RABGAP1L	LINC01374	BLK	OSTN	FAM86B2	TMEM107	FAM46A	HPGD	RPN2	SUB1	ID2	LINC01565
SCN3A	RHOBTB3	FAM81A	LINC01013	PRICKLE2	UTS2B	RPL12	SAT1	SIGLEC6	WARS	HID1	SPATA25	LYZ	EVA1B
APLP2	ZDHHC21	PAX5	TMPRSS15	ZYG11A	LTK	RPS24	SQSTM1	LILRB2	HERPUD1	PRDX4	PEBP1	TXK	MFAP3L
NCK2	ARHGAP15	SESTD1	BACH2	PIP4K2A	ARPC5	RPL10A	ZNF331	CNTNAP3	IGLC3	COLEC10	ELL2	AGAP1	DAB2
MAML2	EML4	TBL1XR1	PTMA	TCF7	RUNX2	RPL8	RHOB	ANK3	HID1	DERL3	RRBP1	S100A9	CTDSPL
STRADB	NCOA7	HIP1	H3F3A	NLK	CES1	RPL26	TULP2	PYHIN1	ERLEC1	XCR1	NEAT1	PTGDR	LINC00642
AFF3	CD44	PTPRK	FOXP1	MGAT4A	SSPN	RPL18	MYC	SETBP1	HOXB9	INPP4A	GPRC5D	C10orf11	CLEC1B
CHL1	LRRK2	CYTH1	SSBP2	COL4A3	SLC16A10	RPL15	KLF6	FCGR2A	PHGDH	ZBP1	MDM2	FRMD4B	PDGFA
RERE	SP140	TMEM123	SUGCT	NTNG1	PRR5	RPS15	EZH2	HSPB1	SPCS2	TMEM258	SND1	S100A8	TLN1
IGF1R	PPP3CA	SP100	MSI2	UBE2N	TBC1D9	NPM1	REL	RABGAP1L	SLC22A31	SEC61G	SLAMF7	SH2D1B	PVALB
ZCCHC7	SYK	UBE2E2	EIF2AK3	CD80	TFRC	RPL17	CD74	KCNJ3	XBP1	MYO1D	RARRES3	CCL4	SEPT5
FAM65B	GALNTL6	DPYD	ABCA1	HOPX	SUB1	RPL11	MIR155HG	EEA1	OBSL1	WNT5B	ATXN1	KLRF1	MISP3
BTLA	BMPR2	MED13L	MID1IP1	SEL1L3	YES1	RPS9	ARL5B	ITGB2	SEC61G	RCBTB2	UBE2J1	TMEM125	DMTN
ZNF318	ADAMTS6	BIRC3	RIMKLB	SHISA8	HMOX1	RACK1	TNFAIP3	DUSP15	NUCB2	SPCS2	RCBTB2	FCRL6	EGFL7
FCER2	PPFIBP2	GRK3	CAMK2D	ATP2B1	PREX1	RPS14	FTH1	AKAP13	KDELR2	SND1	ENPP6	IL32	C1QL4
TRAK2	HSPA12A	FCGBP	NCAM2	CRHBP	HN1	NACA	EEF1A1	CD200R1	PNMA6A	IGLC3	FAM129A	LINC00861	PEAR1
