	1	2	3	4	5	6	7	8	9	10	11	12	13	14
ABCC3	3.1706124145721275e-05	-6.139146294267418e-05	-7.203254932612006e-05	0.0001133976566098	4.355757860153307e-06	8.0379577657833e-05	-0.0001766228228098	-0.0002031216947185	0.0001678497339463	-2.316101443283826e-05	-2.26133950994474e-06	1.070726984887436e-05	7.63494223077879e-06	0.0013257327235212
ABCC4	-0.0004750134538746	0.0006106290669885	-0.0002558363351421	-0.0006219282713928	0.0009476590307716	8.598017254865608e-05	-0.0002967186846407	-0.0006361709094072	0.0012635176186541	0.000336296080293	0.0001047890984432	0.0002592805791268	0.0002501581523852	0.0003954892576021
ABCC5	0.0003746446843023	-2.6106330698273318e-05	-0.0001259227572543	-0.0001266071820992	-5.295757156839335e-05	4.910795845168967e-05	-0.0001665590777847	-0.0002644266645462	7.815010576516986e-05	-8.574440406755453e-05	-7.601795437744068e-05	7.613741041465023e-05	0.0001670121556464	0.000106088412074
ABCC6	-1.69129308396042e-05	8.310551324106571e-05	-1.7409348262083596e-06	0.0001233593442403	-2.2852328159578417e-05	3.352186547537411e-05	-5.8448295983194375e-05	-0.0001704523602717	-0.0001568766252658	-5.599375702204849e-06	-4.160192634337896e-06	2.9307176212948315e-05	-6.30652980463006e-05	0.0003131965618711
ABCC8	2.5620221004294094e-05	-6.138073658506098e-05	2.7722348776642444e-05	4.314552151486517e-05	-1.4273494701466935e-05	-3.0369084650727624e-05	-4.623412025882548e-06	-0.0001017405171592	3.2453591064925014e-05	-1.918876866554925e-05	-6.187309860239064e-06	-5.877661290534364e-06	-3.3341905379879464e-05	-6.280437723973689e-05
ABCC9	3.141314419240412e-05	3.074146009275882e-05	4.110824177209424e-05	-5.173379952883451e-05	8.995603850072702e-06	1.778651715455917e-05	4.354452528245195e-05	-0.0002263071698227	-5.093810635809904e-05	-3.0184425844110037e-05	-3.458123539145477e-05	1.00410347670011e-05	3.32371096245563e-05	-5.874852776501856e-05
ABCD1	-7.941716879600021e-05	4.7754418203320814e-05	-7.559835662584243e-06	0.0002705235785408	-0.0001120963307188	-3.610094411560536e-05	5.2151377642025565e-06	-9.436849696720236e-05	-4.050391326885816e-05	-5.921381044097925e-05	4.314757373723436e-06	-6.943413907652261e-05	2.694675117722282e-05	-5.9126413407715866e-05
ABCD2	-0.0003192767498059	-0.0001821417974163	-7.619985103735419e-05	-1.885824161256119e-05	0.0004074864043943	0.0007725548647066	-7.700357894373932e-05	-0.0004458023147893	0.0006805749679794	-0.0001117158923166	0.0001858603074513	7.305187566363579e-05	0.0003260521616125	0.0004625629362248
ABCD3	0.0001639296660972	-6.258220950153682e-05	8.01396125957507e-05	-0.000206240948259	-2.077043256342312e-05	8.539069623718155e-05	-0.0002061440502289	4.802910468895371e-05	-7.240078358882214e-05	-0.0001794273377715	5.599268138547368e-05	9.837689704159582e-06	0.0001909048326465	0.0003080942074105
ABCD4	9.479411137588328e-05	-0.0001061316985495	1.1780191407850872e-05	-4.498795098788461e-06	-6.054328444824756e-05	-2.4146569001695545e-05	-0.0001283268811469	0.0001787218752611	9.595265645071537e-05	-9.54309102210693e-05	4.50582013359324e-05	7.282909229343898e-05	0.0001233886842082	-3.460064641182629e-05
ABCE1	1.2082731121492148e-05	3.3899942957518684e-05	5.397926798001208e-05	0.0001970563774692	-0.0001842617163674	-0.0001434785802395	0.000261551827263	-0.0001427346954067	-0.0003828445805041	-9.779467638775172e-05	-6.319346657186558e-05	-0.000120127084141	6.043267803130808e-05	0.0002367483893435
ABCF1	-0.0002606430193948	1.6543039971139402e-05	0.0002934184104327	-1.7993533365058698e-05	-4.963872596947504e-05	-2.208839593292763e-05	0.0001954502200397	0.0005001390804696	-0.0002655481440082	-5.715720971637008e-05	-0.0001029026987407	-3.8072029557131554e-05	5.224217964874286e-05	-0.0001889519160373
ABCF2	3.252872880469505e-05	-6.652521352873792e-05	-0.0001096367986158	3.425394820953591e-05	0.0001318333098257	0.0001375874416339	0.0001806758408648	-0.000156776728325	-0.0001134679598272	-4.108282721942084e-05	-8.635881452266348e-05	4.222295409464208e-05	5.239017130358519e-05	8.501093849963409e-05
ABCF3	1.3062311085506702e-05	1.0710447429173658e-05	-6.32883838514459e-05	-8.382676619875355e-05	6.402530627385926e-05	1.6656949502315936e-05	0.0001175767105224	-0.0002378284022917	-1.2499817429413929e-05	-8.293846831240159e-05	0.0001011516185004	-1.6329902153343006e-05	0.0001401380508798	-5.612213044341848e-05
ABCG1	5.061029947584865e-05	3.812897097968783e-05	0.0004590233109163	0.0006338724063678	-0.0007754742356125	-0.0001878582694051	-0.0007575230970441	0.000761886271841	-0.0003953115252896	-0.0002686472194858	-7.800853912015923e-05	5.784612284001519e-08	-0.0002310672167102	-0.000528053175531
ABCG2	-6.196775519617828e-05	-4.161392853327706e-05	7.220899753610481e-05	0.0001994626493637	-4.272124659184261e-06	-0.0001111381616815	9.297609386065412e-05	-0.0001893580187453	8.763784881053004e-05	5.28635309502103e-05	-1.0207712782496646e-05	-7.347496586676299e-05	-0.0001141116284734	-0.0001420148674018
ABCG4	-4.123949184336335e-06	-0.0001048922905704	-0.0001223579488624	0.0001543027190887	-7.564095372190164e-05	2.359405716310656e-05	-3.419259393710341e-05	9.67533986745104e-05	0.0003122476601861	4.803710868619308e-05	-2.784015364976453e-05	2.0076068785360497e-05	2.481877816815584e-05	0.0009042771026661
ABCG5	-1.0468173595604997e-05	-3.421751224833582e-05	-7.506464914045592e-05	5.358005931869437e-05	1.1216577702083937e-05	3.8323729300466106e-05	-0.0001594775731223	-0.0002093391489461	0.0002963455157408	4.530843119510403e-05	7.378652297432367e-05	6.17235286353458e-05	7.746777453254783e-05	-2.892621501417606e-05
ABCG8	0.0001309506768946	4.352204052396184e-05	-0.0001429552340523	-2.418798407053432e-05	-8.766478735398462e-06	-1.1630237692920133e-05	0.0001098493944857	-9.19973734711697e-05	6.553204635345349e-05	-2.276073740477302e-05	-2.020666099034556e-06	-5.883312643858855e-05	-6.736800982181374e-05	0.0002215663518952
ABHD1	-3.313543893384722e-05	0.0001314298816094	7.920500323479573e-05	-0.0001902258493917	4.3550170859922166e-05	0.0001436585389381	0.000131704485543	-0.0001380716079685	-0.0001533419923815	-3.28690479992861e-05	-3.688758555352773e-05	-6.388092097594066e-05	-1.1806553432956472e-05	-0.0001841029588247
ABHD10	-1.693739039085356e-05	-5.2333516693298704e-05	-3.774789170079276e-05	0.0002662220185949	-8.529945587518219e-05	8.789220738953773e-05	3.0180138601749217e-05	-0.0005500584711135	-9.226572807371614e-05	1.0732902309397816e-05	5.589377742602216e-05	1.1009897584684476e-05	-9.49985028630892e-05	-0.0001438918706284
ABHD11	-0.0001179696678246	-3.833969782098272e-05	2.3697616345085904e-05	5.498757905326024e-05	3.370575497038817e-05	-0.0001389712613425	8.556567759544369e-05	0.0004158940602669	-7.03748033042603e-05	2.475288708320234e-05	1.2365853812967626e-05	-4.4849486138802937e-05	-4.25942708072016e-05	-0.0002703648347943
ABHD12	-3.7282204573787015e-05	-3.2216435237489296e-05	-4.2027327940490575e-05	-0.0001041079178885	0.000120113157747	0.0003569791313173	-0.0003350405401459	-0.0002616448692455	0.0003261667547707	1.0856155149102418e-05	0.0002111164803144	0.0002376053153565	0.000400026665769	0.000584693410498
