sample_id	run	format	lane	lib_type	sample_index
3530145-A	251027_LH00235_0558_B237VM7LT4	BCL	1	GEX	SI-TT-H1
3530145-B	251027_LH00235_0558_B237VM7LT4	BCL	1	GEX	SI-TT-H2
3530194-F	251027_LH00235_0558_B237VM7LT4	BCL	1	GEX	SI-TT-H6
3530194-G	251027_LH00235_0558_B237VM7LT4	BCL	1	GEX	SI-TT-H7
3530145-A	X204SC25105422	FASTQ		GEX	
3530145-B	X204SC25105422	FASTQ		GEX	
3530194-F	X204SC25105422	FASTQ		GEX	
3530194-G	X204SC25105422	FASTQ		GEX	
3530145-A	251027_LH00235_0558_B237VM7LT4	BCL	1	ADT	SI-NT-D1
3530145-B	251027_LH00235_0558_B237VM7LT4	BCL	1	ADT	SI-NT-D2
3530194-F	251027_LH00235_0558_B237VM7LT4	BCL	1	ADT	SI-NT-D6
3530194-G	251027_LH00235_0558_B237VM7LT4	BCL	1	ADT	SI-NT-D7
